dataset,cindex,ranksvm_C,n_fps,setting
AU_000,0.8146167557932263,4.0,129,baseline
AU_000,0.7415329768270945,4.0,129,baseline
AU_000,0.6737967914438503,32.0,129,baseline
AU_000,0.7950089126559715,1.0,129,baseline
AU_000,0.7896613190730838,4.0,129,baseline
AU_000,0.8021390374331551,8.0,129,baseline
AU_000,0.7415329768270945,1.0,129,baseline
AU_000,0.7540106951871658,4.0,129,baseline
AU_000,0.7664884135472371,4.0,129,baseline
AU_000,0.7647058823529411,4.0,129,baseline
AU_000,0.8021390374331551,16.0,129,baseline
AU_000,0.82174688057041,4.0,129,baseline
AU_000,0.7647058823529411,32.0,129,baseline
AU_000,0.8449197860962567,8.0,129,baseline
AU_000,0.7575757575757576,4.0,129,baseline
AU_000,0.8270944741532977,4.0,129,baseline
AU_000,0.7344028520499108,8.0,129,baseline
AU_000,0.7700534759358288,4.0,129,baseline
AU_000,0.7754010695187166,32.0,129,baseline
AU_000,0.7718360071301248,4.0,129,baseline
AU_000,0.7700534759358288,16.0,129,baseline
AU_000,0.7647058823529411,32.0,129,baseline
AU_000,0.7825311942959001,32.0,129,baseline
AU_000,0.8199643493761141,32.0,129,baseline
AU_000,0.7344028520499108,4.0,129,baseline
BML_000,0.8638655462184874,4.0,185,baseline
BML_000,0.8523809523809524,4.0,185,baseline
BML_000,0.880672268907563,16.0,185,baseline
BML_000,0.7764705882352941,4.0,185,baseline
BML_000,0.8504201680672269,16.0,185,baseline
BML_000,0.7983193277310925,1.0,185,baseline
BML_000,0.8201680672268907,1.0,185,baseline
BML_000,0.8084033613445378,16.0,185,baseline
BML_000,0.8235294117647058,32.0,185,baseline
BML_000,0.7396825396825397,1.0,185,baseline
BML_000,0.8218487394957983,1.0,185,baseline
BML_000,0.8033613445378152,32.0,185,baseline
BML_000,0.8218487394957983,32.0,185,baseline
BML_000,0.8841269841269841,32.0,185,baseline
BML_000,0.773015873015873,1.0,185,baseline
BML_000,0.7680672268907563,4.0,185,baseline
BML_000,0.7865546218487395,16.0,185,baseline
BML_000,0.7793650793650794,1.0,185,baseline
BML_000,0.8403361344537815,32.0,185,baseline
BML_000,0.7394957983193278,4.0,185,baseline
BML_000,0.8047619047619048,32.0,185,baseline
BML_000,0.7983193277310925,32.0,185,baseline
BML_000,0.8050420168067227,4.0,185,baseline
BML_000,0.8319327731092437,0.5,185,baseline
BML_000,0.8722689075630252,4.0,185,baseline
BS_000,0.9158653846153846,4.0,403,baseline
BS_000,0.9095149253731343,8.0,403,baseline
BS_000,0.9250878734622144,16.0,403,baseline
BS_000,0.9279120879120879,8.0,403,baseline
BS_000,0.8859480269489894,16.0,403,baseline
BS_000,0.9216417910447762,4.0,403,baseline
BS_000,0.93854033290653,4.0,403,baseline
BS_000,0.9071146245059288,4.0,403,baseline
BS_000,0.8966884328358209,16.0,403,baseline
BS_000,0.9366515837104072,8.0,403,baseline
BS_000,0.920076726342711,8.0,403,baseline
BS_000,0.896354852876592,8.0,403,baseline
BS_000,0.9353944562899786,16.0,403,baseline
BS_000,0.8976689976689977,4.0,403,baseline
BS_000,0.9180887372013652,16.0,403,baseline
BS_000,0.9074626865671642,8.0,403,baseline
BS_000,0.9053579270970575,4.0,403,baseline
BS_000,0.8991139750302054,8.0,403,baseline
BS_000,0.9310173697270472,4.0,403,baseline
BS_000,0.9035326086956522,8.0,403,baseline
BS_000,0.9083710407239819,16.0,403,baseline
BS_000,0.8924022837066315,8.0,403,baseline
BS_000,0.9258960934353605,4.0,403,baseline
BS_000,0.9216346153846153,4.0,403,baseline
BS_000,0.9008791208791209,16.0,403,baseline
EA_000,0.793939393939394,1.0,124,baseline
EA_000,0.8174442190669371,32.0,124,baseline
EA_000,0.8346938775510204,4.0,124,baseline
EA_000,0.8411405295315683,32.0,124,baseline
EA_000,0.8380566801619433,8.0,124,baseline
EA_000,0.8397565922920892,4.0,124,baseline
EA_000,0.8085539714867617,32.0,124,baseline
EA_000,0.7963340122199593,8.0,124,baseline
EA_000,0.8224489795918367,32.0,124,baseline
EA_000,0.7571428571428571,8.0,124,baseline
EA_000,0.7617107942973523,4.0,124,baseline
EA_000,0.7653061224489796,4.0,124,baseline
EA_000,0.8387755102040816,1.0,124,baseline
EA_000,0.8434959349593496,16.0,124,baseline
EA_000,0.8094262295081968,0.5,124,baseline
EA_000,0.790224032586558,4.0,124,baseline
EA_000,0.8048780487804879,32.0,124,baseline
EA_000,0.8323232323232324,32.0,124,baseline
EA_000,0.802020202020202,0.5,124,baseline
EA_000,0.8275862068965517,1.0,124,baseline
EA_000,0.821501014198783,1.0,124,baseline
