dataset,cindex,ranksvm_C,setting,n_fps,use_classyfire_features,local_fps_features
AU_000,0.8003565062388592,0.25,multisys,304,False,False
AU_000,0.750445632798574,0.25,multisys,304,False,False
AU_000,0.7433155080213903,0.25,multisys,304,False,False
AU_000,0.8556149732620321,0.25,multisys,304,False,False
AU_000,0.7754010695187166,0.25,multisys,304,False,False
AU_000,0.8645276292335116,0.25,multisys,304,False,False
AU_000,0.8146167557932263,0.25,multisys,304,False,False
AU_000,0.7896613190730838,0.25,multisys,304,False,False
AU_000,0.7985739750445633,0.25,multisys,304,False,False
AU_000,0.7843137254901961,0.25,multisys,304,False,False
AU_000,0.7415329768270945,0.25,multisys,304,False,False
AU_000,0.8181818181818182,0.25,multisys,304,False,False
AU_000,0.8306595365418895,0.25,multisys,304,False,False
AU_000,0.8253119429590018,0.25,multisys,304,False,False
AU_000,0.8199643493761141,0.25,multisys,304,False,False
AU_000,0.7914438502673797,0.25,multisys,304,False,False
AU_000,0.8128342245989305,0.25,multisys,304,False,False
AU_000,0.7629233511586453,0.25,multisys,304,False,False
AU_000,0.8074866310160428,0.25,multisys,304,False,False
AU_000,0.7379679144385026,0.25,multisys,304,False,False
AU_000,0.7664884135472371,0.25,multisys,304,False,False
AU_000,0.8003565062388592,0.25,multisys,304,False,False
AU_000,0.8163992869875223,0.25,multisys,304,False,False
AU_000,0.7557932263814616,0.25,multisys,304,False,False
AU_000,0.7433155080213903,0.25,multisys,304,False,False
BML_000,0.8302521008403362,0.25,multisys,304,False,False
BML_000,0.8833333333333333,0.25,multisys,304,False,False
BML_000,0.8588235294117647,0.25,multisys,304,False,False
BML_000,0.8470588235294118,0.25,multisys,304,False,False
BML_000,0.8605042016806723,0.25,multisys,304,False,False
BML_000,0.8470588235294118,0.25,multisys,304,False,False
BML_000,0.8319327731092437,0.25,multisys,304,False,False
BML_000,0.8184873949579832,0.25,multisys,304,False,False
BML_000,0.8184873949579832,0.25,multisys,304,False,False
BML_000,0.8761904761904762,0.25,multisys,304,False,False
BML_000,0.8100840336134454,0.25,multisys,304,False,False
BML_000,0.8705882352941177,0.25,multisys,304,False,False
BML_000,0.8352941176470589,0.25,multisys,304,False,False
BML_000,0.8007936507936508,0.25,multisys,304,False,False
BML_000,0.8388888888888889,0.25,multisys,304,False,False
BML_000,0.788235294117647,0.25,multisys,304,False,False
BML_000,0.8521008403361344,0.25,multisys,304,False,False
BML_000,0.8341269841269842,0.25,multisys,304,False,False
BML_000,0.838655462184874,0.25,multisys,304,False,False
BML_000,0.8352941176470589,0.25,multisys,304,False,False
BML_000,0.765079365079365,0.25,multisys,304,False,False
BML_000,0.8033613445378152,0.25,multisys,304,False,False
BML_000,0.8302521008403362,0.25,multisys,304,False,False
BML_000,0.8252100840336134,0.25,multisys,304,False,False
BML_000,0.826890756302521,0.25,multisys,304,False,False
BS_000,0.9060096153846153,0.25,multisys,304,False,False
BS_000,0.8838619402985075,0.25,multisys,304,False,False
BS_000,0.8989455184534271,0.25,multisys,304,False,False
BS_000,0.7703296703296704,0.25,multisys,304,False,False
BS_000,0.893888354186718,0.25,multisys,304,False,False
BS_000,0.8185634328358209,0.25,multisys,304,False,False
BS_000,0.8977806231327358,0.25,multisys,304,False,False
BS_000,0.8932806324110671,0.25,multisys,304,False,False
BS_000,0.8903917910447762,0.25,multisys,304,False,False
BS_000,0.9113122171945701,0.25,multisys,304,False,False
BS_000,0.899616368286445,0.25,multisys,304,False,False
BS_000,0.6936758893280632,0.25,multisys,304,False,False
BS_000,0.9063965884861407,0.25,multisys,304,False,False
BS_000,0.8965034965034965,0.25,multisys,304,False,False
BS_000,0.8752133105802048,0.25,multisys,304,False,False
BS_000,0.8735607675906183,0.25,multisys,304,False,False
BS_000,0.9321475625823452,0.25,multisys,304,False,False
