accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
AU879682,AU230660;AU230659;AU230662;AU230658;AU230657,298,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],5.668,min,WIIZWVCIJKGZOK-UHFFFAOYSA-N,[M-H]-
AU484704,AU238262,338,C1=CC=C(C(=C1)C(=O)O)O,3.637,min,YGSDEFSMJLZEOE-UHFFFAOYSA-N,[M-H]-
AU352166,AU229857;AU229858,980,C1=CC(=CC=C1[N+](=O)[O-])O,5.612,min,BTJIUGUIPKRLHP-UHFFFAOYSA-N,[M-H]-
AU277224,AU230258;AU230259;AU230257,1493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,4.412,min,UFBJCMHMOXMLKC-UHFFFAOYSA-N,[M-H]-
AU708189,AU229360;AU229357;AU229358;AU229359;AU229362,1530,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,7.241,min,UQVKZNNCIHJZLS-UHFFFAOYSA-N,[M-H]-
AU040545,AU228157;AU228159;AU228158;AU228112;AU228110;AU228111,1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,4.966,min,GOEMGAFJFRBGGG-UHFFFAOYSA-N,[M-H]-
AU670016,AU311151,1982,CC(=O)NP(=O)(OC)SC,2.927,min,YASYVMFAVPKPKE-UHFFFAOYSA-N,[M-H]-
AU859017,AU231058;AU231057;AU231059;AU231060,2015,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2,6.924,min,FZEYVTFCMJSGMP-UHFFFAOYSA-N,[M-H]-
AU544237,AU231357;AU325853;AU325854;AU325852;AU231358;AU231360;AU231359;AU325851,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,4.139,min,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,[M-H]-
AU726667,AU234957;AU234959;AU234960;AU234958,2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,8.552,min,LKJPYSCBVHEWIU-UHFFFAOYSA-N,[M-H]-
AU813705,AU213753;AU213752;AU213755;AU213751;AU213754,2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,4.668,min,HTQMVQVXFRQIKW-UHFFFAOYSA-N,[M-H]-
AU081491,AU235657;AU235659;AU235660;AU235658,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,10.248,min,RZEKVGVHFLEQIL-UHFFFAOYSA-N,[M-H]-
AU960752,AU158354;AU158352;AU158353;AU158351,2978,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C)C(=C1)O,13.824,min,CYQFCXCEBYINGO-UHFFFAOYSA-N,[M-H]-
AU986402,AU234660;AU234657;AU234658;AU234659,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,8.664,min,DCOPUUMXTXDBNB-UHFFFAOYSA-N,[M-H]-
