accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
BS492044,BS003128,338,C1=CC=C(C(=C1)C(=O)O)O,297.0,sec,YGSDEFSMJLZEOE-UHFFFAOYSA-N
BS001815,BS003956;BS003954;BS003958;BS003959;BS003955,662,C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,349.8,sec,PADQINQHPQKXNL-UHFFFAOYSA-N
BS944450,BS001075;BS001077;BS001076,985,CCCCCCCCCCCCCCCC(=O)O,1881.6,sec,IPCSVZSSVZVIGE-UHFFFAOYSA-N
BS854672,BS003871;BS003869,2969,CCCCCCCCCC(=O)O,1175.4,sec,GHVNFZFCNZKVNT-UHFFFAOYSA-N
BS111731,BS003106,3469,C1=CC(=C(C=C1O)C(=O)O)O,107.4,sec,WXTMDXOMEHJXQO-UHFFFAOYSA-N
BS378188,BS003929;BS003931;BS003932,5281,CCCCCCCCCCCCCCCCCC(=O)O,1971.6,sec,QIQXTHQIDYTFRH-UHFFFAOYSA-N
BS187786,BS003104;BS003103,6990,CC(=O)C1=C(C=C(C=C1)O)O,298.8,sec,SULYEHHGGXARJS-UHFFFAOYSA-N
BS539914,BS003883;BS003884,8180,CCCCCCCCCCC(=O)O,1313.4,sec,ZDPHROOEEOARMN-UHFFFAOYSA-N
BS238262,BS003886;BS003890;BS003887;BS003888,8215,CCCCCCCCCCCCCCCCCCCCCC(=O)O,2062.2,sec,UKMSUNONTOPOIO-UHFFFAOYSA-N
BS193104,BS003124;BS003126,8468,COC1=C(C=CC(=C1)C(=O)O)O,154.8,sec,WKOLLVMJNQIZCI-UHFFFAOYSA-N
BS400250,BS003265;BS003264,8768,C1=CC(=C(C=C1C=O)O)O,65.4,sec,IBGBGRVKPALMCQ-UHFFFAOYSA-N
BS061146,BS003016;BS003014,9064,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,120.152,sec,PFTAWBLQPZVEMU-DZGCQCFKSA-N
BS030730,BS003180;BS003176;BS003177;BS003174;BS003175,10114,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O,1449.0,sec,MPDGHEJMBKOTSU-YKLVYJNSSA-N
BS662978,BS003006;BS003009;BS003005;BS003004;BS003008,10187,C1=CC2=CC3=C(C(=CC=C3)O)C(=C2C(=C1)O)O,819.0,sec,YUTJCNNFTOIOGT-UHFFFAOYSA-N
BS492414,BS003908;BS003911;BS003910;BS003907,10465,CCCCCCCCCCCCCCCCC(=O)O,1935.6,sec,KEMQGTRYUADPNZ-UHFFFAOYSA-N
BS286710,BS003862;BS003858;BS003861;BS003857;BS003859,10621,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,424.8,sec,QUQPHWDTPGMPEX-QJBIFVCTSA-N
BS043673,BS003876;BS003878;BS003877,11005,CCCCCCCCCCCCCC(=O)O,1681.8,sec,TUNFSRHWOTWDNC-UHFFFAOYSA-N
BS909691,BS003926;BS003925;BS003928,11197,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,2113.2,sec,QZZGJDVWLFXDLK-UHFFFAOYSA-N
BS855053,BS003024;BS003023;BS003025,11349,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,992.4,sec,HVQAJTFOCKOKIN-UHFFFAOYSA-N
BS920590,BS003881;BS003882,12530,CCCCCCCCCCCCC(=O)O,1567.8,sec,SZHOJFHSIKHZHA-UHFFFAOYSA-N
BS749194,BS003872;BS003874;BS003873,13849,CCCCCCCCCCCCCCC(=O)O,1791.0,sec,WQEPLUUGTLDZJY-UHFFFAOYSA-N
