accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
EA30764122,EA020264;EA020251,1302,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,10.0,min,CMWTZPSULFXXJA-UHFFFAOYSA-N,[M-H]-,C14H14O3
EA53558762,EA026764;EA026751,1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,9.1,min,OVSKIKFHRZPJSS-UHFFFAOYSA-N,[M-H]-,C8H6Cl2O3
EA38285222,EA024351;EA024364,1983,CC(=O)NC1=CC=C(C=C1)O,2.2,min,RZVAJINKPMORJF-UHFFFAOYSA-N,[M-H]-,C8H9NO2
EA32034312,EA285151;EA285164,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,2.1,min,NDAUXUAQIAJITI-UHFFFAOYSA-N,[M-H]-,C13H21NO3
EA15832433,EA285251;EA285264,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,3.8,min,NTJOBXMMWNYJFB-UHFFFAOYSA-N,[M-H]-,C17H27N3O4S
EA51661990,EA025351;EA025364,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,7.4,min,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,[M-H]-,C10H12N2O3S
EA34978194,EA280464;EA280451,2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,9.3,min,HTQMVQVXFRQIKW-UHFFFAOYSA-N,[M-H]-,C24H20N6O3
EA28118716,EA277251;EA277264,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,9.2,min,ZKLPARSLTMPFCP-UHFFFAOYSA-N,[M-H]-,C21H25ClN2O3
EA21459467,EA020451,2797,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,10.1,min,TXCGAZHTZHNUAI-UHFFFAOYSA-N,[M-H]-,C10H11ClO3
EA40803696,EA027551;EA027564,3030,COC1=C(C=CC(=C1C(=O)O)Cl)Cl,7.1,min,IWEDIXLBFLAXBO-UHFFFAOYSA-N,[M-H]-,C8H6Cl2O3
EA23264537,EA020164;EA020151,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,12.8,min,DCOPUUMXTXDBNB-UHFFFAOYSA-N,[M-H]-,C14H11Cl2NO2
EA82515050,EA029264;EA029251,3120,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,9.0,min,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,[M-H]-,C9H10Cl2N2O
EA22961357,EA266651;EA266664,3352,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,12.7,min,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,[M-H]-,C12H4Cl2F6N4OS
EA44870198,EA032864;EA032851,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,5.2,min,RFHAOTPXVQNOHP-UHFFFAOYSA-N,[M-H]-,C13H12F2N6O
EA94546703,EA260051;EA260064,3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,6.6,min,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,[M-H]-,C12H11ClN2O5S
EA73856272,EA261051;EA261064,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,2.2,min,JZUFKLXOESDKRF-UHFFFAOYSA-N,[M-H]-,C7H8ClN3O4S2
EA52931845,EA020764;EA020751,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,12.8,min,CGIGDMFJXJATDK-UHFFFAOYSA-N,[M-H]-,C19H16ClNO4
EA35721841,EA277451;EA277464,3749,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,9.3,min,YOSHYTLCDANDAN-UHFFFAOYSA-N,[M-H]-,C25H28N6O
EA65521763,EA020564;EA020551,3825,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,9.6,min,DKYWVDODHFEZIM-UHFFFAOYSA-N,[M-H]-,C16H14O3
EA04662798,EA020851;EA020864,4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,14.6,min,HYYBABOKPJLUIN-UHFFFAOYSA-N,[M-H]-,C15H15NO2
