accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
EA63820635,EA026760;EA026758;EA026757;EA026753;EA026754;EA026762;EA026755;EA026761;EA026759;EA026756;EA026763;EA026752,1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,9.1,min,OVSKIKFHRZPJSS-UHFFFAOYSA-N,[M-H]-
EA98930581,EA024362;EA024352;EA024354;EA024360;EA024358;EA024359;EA024353;EA024356;EA024357;EA024361;EA024355,1983,CC(=O)NC1=CC=C(C=C1)O,2.2,min,RZVAJINKPMORJF-UHFFFAOYSA-N,[M-H]-
EA37081150,EA285162;EA285156;EA285154;EA285155;EA285159;EA285152;EA285161;EA285153;EA285160;EA285158,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,2.1,min,NDAUXUAQIAJITI-UHFFFAOYSA-N,[M-H]-
EA92008082,EA285256;EA285253;EA285260;EA285259;EA285252;EA285258;EA285254;EA285255,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,3.8,min,NTJOBXMMWNYJFB-UHFFFAOYSA-N,[M-H]-
EA43871840,EA025353;EA025356;EA025357;EA025363;EA025359;EA025360;EA025358;EA025361;EA025354;EA025355;EA025362;EA025352,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,7.4,min,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,[M-H]-
EA17181747,EA280463;EA280459;EA280458;EA280452;EA280455;EA280462;EA280454;EA280461;EA280453;EA280456;EA280457;EA280460,2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,9.3,min,HTQMVQVXFRQIKW-UHFFFAOYSA-N,[M-H]-
EA88716157,EA277259;EA277253;EA277260;EA277254;EA277258;EA277252,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,9.2,min,ZKLPARSLTMPFCP-UHFFFAOYSA-N,[M-H]-
EA12434445,EA020461;EA020453;EA020459;EA020460;EA020455;EA020452;EA020456;EA020463;EA020454;EA020457;EA020462;EA020458,2797,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,10.1,min,TXCGAZHTZHNUAI-UHFFFAOYSA-N,[M-H]-
EA81754250,EA027558;EA027561;EA027555,3030,COC1=C(C=CC(=C1C(=O)O)Cl)Cl,7.1,min,IWEDIXLBFLAXBO-UHFFFAOYSA-N,[M-H]-
EA91018004,EA020154;EA020153;EA020155;EA020156;EA020160;EA020162;EA020158;EA020161;EA020152;EA020163;EA020159,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,12.8,min,DCOPUUMXTXDBNB-UHFFFAOYSA-N,[M-H]-
EA98988627,EA029252;EA029256;EA029255;EA029259;EA029263;EA029258;EA029257;EA029261;EA029253;EA029254;EA029260;EA029262,3120,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,9.0,min,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,[M-H]-
EA19125745,EA266654;EA266658;EA266662;EA266659;EA266652;EA266656;EA266661;EA266657;EA266660;EA266653;EA266663;EA266655,3352,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,12.7,min,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,[M-H]-
EA66789803,EA032852;EA032858;EA032860;EA032857;EA032853;EA032863;EA032856;EA032855;EA032854;EA032859;EA032861;EA032862,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,5.2,min,RFHAOTPXVQNOHP-UHFFFAOYSA-N,[M-H]-
EA01931049,EA256659;EA256658;EA256660;EA256663;EA256656;EA256662;EA256655;EA256652;EA256657;EA256653;EA256654;EA256661,3385,C1=C(C(=O)NC(=O)N1)F,1.0,min,GHASVSINZRGABV-UHFFFAOYSA-N,[M-H]-
EA39418547,EA260060;EA260057;EA260059;EA260062;EA260055;EA260061;EA260063;EA260058;EA260056;EA260052;EA260054;EA260053,3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,6.6,min,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,[M-H]-
EA25242392,EA261059;EA261062;EA261056;EA261063;EA261053;EA261061;EA261057;EA261058;EA261052;EA261054;EA261060;EA261055,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,2.2,min,JZUFKLXOESDKRF-UHFFFAOYSA-N,[M-H]-
EA83671026,EA020756;EA020762;EA020758;EA020759;EA020755;EA020753;EA020760;EA020752;EA020757;EA020761;EA020754,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,12.8,min,CGIGDMFJXJATDK-UHFFFAOYSA-N,[M-H]-
EA75991378,EA277461;EA277463;EA277453;EA277452;EA277457;EA277459;EA277460;EA277456;EA277455;EA277462;EA277458;EA277454,3749,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,9.3,min,YOSHYTLCDANDAN-UHFFFAOYSA-N,[M-H]-
EA33284055,EA020558;EA020553;EA020559;EA020552,3825,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,9.6,min,DKYWVDODHFEZIM-UHFFFAOYSA-N,[M-H]-
EA11210183,EA020853;EA020862;EA020852;EA020854;EA020855;EA020861;EA020858;EA020856;EA020859;EA020860;EA020857;EA020863,4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,14.6,min,HYYBABOKPJLUIN-UHFFFAOYSA-N,[M-H]-
