accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
EQ38548628,EQ329956;EQ329952;EQ329951;EQ329955;EQ329953;EQ329954,681,C1=CC(=C(C=C1CCN)O)O,0.9,min,VYFYYTLLBUKUHU-UHFFFAOYSA-N,[M-H]-,C8H11NO2
EQ38948162,EQ331954;EQ331955;EQ331956;EQ331951;EQ331952;EQ331953,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,7.6,min,CXOFVDLJLONNDW-UHFFFAOYSA-N,[M-H]-,C15H12N2O2
EQ83068240,EQ312251;EQ312254;EQ312256;EQ312253;EQ312252;EQ312255,1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,12.8,min,FSQKKOOTNAMONP-UHFFFAOYSA-N,[M-H]-,C21H18ClNO6
EQ26273265,EQ301151;EQ301153;EQ301154;EQ301152;EQ301156;EQ301155,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,2.4,min,BZKPWHYZMXOIDC-UHFFFAOYSA-N,[M-H]-,C4H6N4O3S2
EQ41233102,EQ285356;EQ285351;EQ285353;EQ285355;EQ285352;EQ285354,2327,C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O,0.8,min,BNQDCRGUHNALGH-UHFFFAOYSA-N,[M-H]-,C10H15N3O5
EQ27950218,EQ332252;EQ332255;EQ332253;EQ332256;EQ332251;EQ332254,2466,CCCCOC1=CC=C(C=C1)CC(=O)NO,8.4,min,MXJWRABVEGLYDG-UHFFFAOYSA-N,[M-H]-,C12H17NO3
EQ17372002,EQ301551;EQ301553;EQ301554;EQ301552;EQ301555;EQ301556,2663,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C,5.5,min,JOATXPAWOHTVSZ-UHFFFAOYSA-N,[M-H]-,C20H33N3O4
EQ82421938,EQ313452;EQ313453;EQ313455;EQ313451;EQ313456;EQ313454,2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,5.4,min,JIVPVXMEBJLZRO-UHFFFAOYSA-N,[M-H]-,C14H11ClN2O4S
EQ31028028,EQ304751;EQ304754;EQ304756;EQ304752;EQ304755;EQ304753,3039,COP(=O)(OC)OC=C(Cl)Cl,7.1,min,OEBRKCOSUFCWJD-UHFFFAOYSA-N,[M-H]-,C4H7Cl2O4P
EQ18320209,EQ329354;EQ329352;EQ329356;EQ329353;EQ329355;EQ329351,3157,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,7.2,min,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,[M-H]-,C23H25N5O5
EQ63745711,EQ330855;EQ330853;EQ330852;EQ330851;EQ330856;EQ330854,3308,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O,12.5,min,NNYBQONXHNTVIJ-UHFFFAOYSA-N,[M-H]-,C17H21NO3
EQ46204187,EQ301955;EQ301954;EQ301951;EQ301953;EQ301956;EQ301952,3348,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,8.2,min,RWTNPBWLLIMQHL-UHFFFAOYSA-N,[M-H]-,C32H39NO4
EQ11633073,EQ302051;EQ302054;EQ302052;EQ302053;EQ302056;EQ302055,3356,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,6.6,min,DJBNUMBKLMJRSA-UHFFFAOYSA-N,[M-H]-,C17H20F6N2O3
EQ27894939,EQ312156;EQ312153;EQ312154;EQ312151;EQ312152;EQ312155,3366,C1=NC(=O)NC(=C1F)N,0.9,min,XRECTZIEBJDKEO-UHFFFAOYSA-N,[M-H]-,C4H4FN3O
EQ86491109,EQ302154;EQ302156;EQ302152;EQ302153;EQ302151;EQ302155,3371,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,14.5,min,LPEPZBJOKDYZAD-UHFFFAOYSA-N,[M-H]-,C14H10F3NO2
EQ92500130,EQ307153;EQ307152;EQ307151;EQ307156;EQ307154;EQ307155,3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,14.9,min,HEMJJKBWTPKOJG-UHFFFAOYSA-N,[M-H]-,C15H22O3
EQ61342212,EQ313853;EQ313852;EQ313854;EQ313855;EQ313851;EQ313856,3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,9.0,min,DIWRORZWFLOCLC-UHFFFAOYSA-N,[M-H]-,C15H10Cl2N2O2
EQ81860474,EQ332052;EQ332056;EQ332051;EQ332054;EQ332055;EQ332053,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,15.6,min,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,[M-H]-,C13H8Cl2N2O4
EQ41930527,EQ306651;EQ306655;EQ306656;EQ306653;EQ306652;EQ306654,4684,C1=CC(=CC=C1O)Cl,7.3,min,WXNZTHHGJRFXKQ-UHFFFAOYSA-N,[M-H]-,C6H5ClO
EQ74583032,EQ328656;EQ328654;EQ328652;EQ328655;EQ328653;EQ328651,4829,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,6.0,min,HYAFETHFCAUJAY-UHFFFAOYSA-N,[M-H]-,C19H20N2O3S
EQ18077474,EQ305151;EQ305156;EQ305153;EQ305152;EQ305155;EQ305154,4933,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,10.3,min,LFULEKSKNZEWOE-UHFFFAOYSA-N,[M-H]-,C9H9Cl2NO
EQ93144138,EQ302751;EQ302754;EQ302752;EQ302756;EQ302755;EQ302753,5355,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,1.7,min,BGRJTUBHPOOWDU-UHFFFAOYSA-N,[M-H]-,C15H23N3O4S
EQ49420225,EQ302855;EQ302853;EQ302856;EQ302851;EQ302854;EQ302852,5467,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC,2.6,min,JTVPZMFULRWINT-UHFFFAOYSA-N,[M-H]-,C15H24N2O4S
EQ71447011,EQ302951;EQ302953;EQ302952,5472,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,15.5,min,PHWBOXQYWZNQIN-UHFFFAOYSA-N,[M-H]-,C14H14ClNS
EQ24240632,EQ313252;EQ313254;EQ313251;EQ313255;EQ313256;EQ313253,5734,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,4.3,min,UBQNRHZMVUUOMG-UHFFFAOYSA-N,[M-H]-,C8H8N2O3S
EQ60361810,EQ332551;EQ332554;EQ332553;EQ332556;EQ332552;EQ332555,5816,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,0.8,min,UCTWMZQNUQWSLP-VIFPVBQESA-N,[M-H]-,C9H13NO3
EQ66837357,EQ324355;EQ324356;EQ324351,5865,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,7.5,min,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,[M-H]-,C21H26O5
EQ20588941,EQ307055;EQ307054;EQ307053;EQ307052;EQ307056;EQ307051,5959,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],5.8,min,WIIZWVCIJKGZOK-RKDXNWHRSA-N,[M-H]-,C11H12Cl2N2O5
EQ14062754,EQ303855;EQ303853;EQ303854;EQ303852;EQ303851;EQ303856,6129,CNC(=O)OC1=CC=CC2=CC=CC=C21,5.4,min,CVXBEEMKQHEXEN-UHFFFAOYSA-N,[M-H]-,C12H11NO2
EQ52880025,EQ309752;EQ309751;EQ309755;EQ309753;EQ309756;EQ309754,8594,C1=CC=C2C(=C1)C=CC=C2NC(=O)C3=CC=CC=C3C(=O)O,7.3,min,JXTHEWSKYLZVJC-UHFFFAOYSA-N,[M-H]-,C18H13NO3
EQ92032682,EQ309451;EQ309454;EQ309453;EQ309452,10087,C1=CC=C2C(=C1)C3=CC=CC=C3C2(C(=O)O)O,6.3,min,GXAMYUGOODKVRM-UHFFFAOYSA-N,[M-H]-,C14H10O3
EQ78601518,EQ312056;EQ312052;EQ312055;EQ312051;EQ312054;EQ312053,10800,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],8.0,min,ZXVONLUNISGICL-UHFFFAOYSA-N,[M-H]-,C7H6N2O5
EQ88611377,EQ305353;EQ305351;EQ305352,12442,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,8.5,min,WZHHYIOUKQNLQM-UHFFFAOYSA-N,[M-H]-,C8H2Cl4O4
EQ19767211,EQ310955;EQ310954;EQ310951;EQ310956;EQ310952;EQ310953,14994,CC(C)(C)C1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],13.3,min,IIPZYDQGBIWLBU-UHFFFAOYSA-N,[M-H]-,C10H12N2O5
EQ68422956,EQ312755;EQ312756;EQ312754;EQ312751;EQ312752;EQ312753,15459,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,7.8,min,IMWZZHHPURKASS-UHFFFAOYSA-N,[M-H]-,C12H15NO3
EQ46658402,EQ317953;EQ317952;EQ317956;EQ317955;EQ317951;EQ317954,22188,CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl,7.6,min,NBQCNZYJJMBDKY-UHFFFAOYSA-N,[M-H]-,C9H13ClN2O2
EQ15161715,EQ309955;EQ309956;EQ309954;EQ309951;EQ309953;EQ309952,29393,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-],12.1,min,UNAHYJYOSSSJHH-UHFFFAOYSA-N,[M-H]-,C12H18N4O6S
EQ06210995,EQ317556;EQ317551;EQ317555;EQ317554;EQ317552;EQ317553,32154,CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,10.9,min,PHNUZKMIPFFYSO-UHFFFAOYSA-N,[M-H]-,C12H11Cl2NO
EQ96994346,EQ328755;EQ328751;EQ328753;EQ328752;EQ328756;EQ328754,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],4.3,min,HBOMLICNUCNMMY-XLPZGREQSA-N,[M-H]-,C10H13N5O4
EQ75456303,EQ286053;EQ286052;EQ286055;EQ286056;EQ286051;EQ286054,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,0.9,min,IWUCXVSUMQZMFG-AFCXAGJDSA-N,[M-H]-,C8H12N4O5
EQ39561912,EQ314552;EQ314554;EQ314555;EQ314556;EQ314553;EQ314551,41781,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,6.8,min,NGBFQHCMQULJNZ-UHFFFAOYSA-N,[M-H]-,C16H20N4O3S
EQ76414513,EQ303251;EQ303256;EQ303255;EQ303254;EQ303253;EQ303252,44073,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)O,12.3,min,NUFNQYOELLVIPL-UHFFFAOYSA-N,[M-H]-,C14H7ClF3NO5
EQ21479524,EQ311851;EQ311855;EQ311853;EQ311856;EQ311854;EQ311852,47445,C1=CC=C(C(=C1)C(=O)NC(=O)NC2=CC=C(C=C2)OC(F)(F)F)Cl,13.8,min,XAIPTRIXGHTTNT-UHFFFAOYSA-N,[M-H]-,C15H10ClF3N2O3
EQ14911336,EQ306953;EQ306955;EQ306952;EQ306956;EQ306954;EQ306951,51039,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl,4.1,min,QYIYFLOTGYLRGG-GPCCPHFNSA-N,[M-H]-,C15H14ClN3O4S
EQ11633325,EQ332456;EQ332452;EQ332454;EQ332451;EQ332453;EQ332455,55891,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3,16.6,min,BIDNLKIUORFRQP-FKDWWROVSA-N,[M-H]-,C30H46NO7P
EQ09553926,EQ310653;EQ310655;EQ310651;EQ310656;EQ310652;EQ310654,60877,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,2.1,min,XQSPYNMVSIKCOC-NTSWFWBYSA-N,[M-H]-,C8H10FN3O3S
EQ64154147,EQ284553;EQ284554;EQ284552;EQ284556;EQ284551;EQ284555,60953,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,7.8,min,GAGWJHPBXLXJQN-UORFTKCHSA-N,[M-H]-,C15H22FN3O6
EQ81060758,EQ330455;EQ330454;EQ330452;EQ330456;EQ330451;EQ330453,60961,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,1.1,min,OIRDTQYFTABQOQ-KQYNXXCUSA-N,[M-H]-,C10H13N5O4
EQ73952565,EQ311451;EQ311453;EQ311454;EQ311452;EQ311456;EQ311455,62773,COP(=O)(OC)OC1=C(C2C1CC=C2)Cl,9.3,min,GBAWQJNHVWMTLU-UHFFFAOYSA-N,[M-H]-,C9H12ClO4P
EQ49773828,EQ329256;EQ329252;EQ329255;EQ329253;EQ329254;EQ329251,64139,C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,12.9,min,XPOQHMRABVBWPR-ZDUSSCGKSA-N,[M-H]-,C14H9ClF3NO2
EQ87505350,EQ325752;EQ325751,67136,C1=C(C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N)N,1.7,min,IHJCXVZDYSXXFT-UHFFFAOYSA-N,[M-H]-,C6H8ClN3O4S2
EQ01355067,EQ328456;EQ328454;EQ328451;EQ328455;EQ328452;EQ328453,68861,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(CC#N)O,8.2,min,AZFLJNIPTRTECV-FUMNGEBKSA-N,[M-H]-,C20H25NO2
EQ54824903,EQ304254;EQ304256;EQ304253;EQ304252;EQ304251;EQ304255,74685,C1=C(C=C(C(=C1Cl)O)Cl)C#N,7.5,min,YRSSHOVRSMQULE-UHFFFAOYSA-N,[M-H]-,C7H3Cl2NO
EQ16382168,EQ329551;EQ329553;EQ329554;EQ329552,82146,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,19.0,min,NAVMQTYZDKMPEU-UHFFFAOYSA-N,[M-H]-,C24H28O2
EQ65418327,EQ329854;EQ329851;EQ329853;EQ329856;EQ329852;EQ329855,84907,C1=C(C=C(C(=C1Br)O)CC2=CC(=CC(=C2O)Br)Cl)Cl,16.5,min,TYBHZVUFOINFDV-UHFFFAOYSA-N,[M-H]-,C13H8Br2Cl2O2
EQ90267130,EQ317253;EQ317252;EQ317255;EQ317251;EQ317256;EQ317254,86422,CC1=C(C(=C(C=C1)Cl)NS(=O)(=O)C2=NN3C(=CC(=NC3=N2)OC)OC)Cl,7.6,min,VGHPMIFEKOFHHQ-UHFFFAOYSA-N,[M-H]-,C14H13Cl2N5O4S
EQ31801556,EQ315651;EQ315655;EQ315654;EQ315652;EQ315656;EQ315653,90495,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,22.8,min,DYHSDKLCOJIUFX-UHFFFAOYSA-N,[M-H]-,C10H18O5
EQ62722936,EQ316656;EQ316653;EQ316652;EQ316651;EQ316654;EQ316655,91612,CC(C)(C)C1=NN(C(=O)O1)C2=C(C=C(C=C2)NC(=O)N(C)C)Cl,9.8,min,DHWRNDJOGMTCPB-UHFFFAOYSA-N,[M-H]-,C15H19ClN4O3
EQ44409667,EQ306456;EQ306452;EQ306451;EQ306455;EQ306454;EQ306453,91692,C1CCC(C1)N(CC2=CC=C(C=C2)Cl)C(=O)NC3=CC=CC=C3,13.8,min,OGYFATSSENRIKG-UHFFFAOYSA-N,[M-H]-,C19H21ClN2O
EQ92239668,EQ316555;EQ316554;EQ316553;EQ316551;EQ316556;EQ316552,91777,CN(S(=O)(=O)C)S(=O)(=O)NC(=O)NC1=NC(=CC(=N1)OC)OC,8.3,min,CTTHWASMBLQOFR-UHFFFAOYSA-N,[M-H]-,C9H15N5O7S2
EQ99583644,EQ318251;EQ318252;EQ318254;EQ318256;EQ318255;EQ318253,92434,CC1=CC=CC(=C1S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C)C(=O)OC,10.8,min,IMEVJVISCHQJRM-UHFFFAOYSA-N,[M-H]-,C17H19F3N6O6S
EQ03135659,EQ302654;EQ302656;EQ302652;EQ302655;EQ302653;EQ302651,107807,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,7.5,min,IPVQLZZIHOAWMC-QXKUPLGCSA-N,[M-H]-,C19H32N2O5
EQ09565993,EQ317653;EQ317651;EQ317652;EQ317656;EQ317655;EQ317654,119361,C1CC1(C(CC2=CC=CC=C2Cl)(CN3C=NC=N3)O)Cl,12.2,min,HHUQPWODPBDTLI-UHFFFAOYSA-N,[M-H]-,C14H15Cl2N3O
EQ27460214,EQ313654;EQ313652;EQ313653;EQ313655;EQ313656;EQ313651,146801,CC(C)N1C2=CC=CC=C2C(=C1C=C[C@H](C[C@H](CC(=O)O)O)O)C3=CC=C(C=C3)F,13.5,min,FJLGEFLZQAZZCD-RTBURBONSA-N,[M-H]-,C24H26FNO4
EQ29798090,EQ301256;EQ301254;EQ301253;EQ301251;EQ301252;EQ301255,148192,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,11.8,min,AXRYRYVKAWYZBR-GASGPIRDSA-N,[M-H]-,C38H52N6O7
EQ85365074,EQ310855;EQ310853;EQ310854;EQ310856;EQ310851;EQ310852,197701,CN=C(NCC1CCOC1)N[N+](=O)[O-],2.8,min,YKBZOVFACRVRJN-UHFFFAOYSA-N,[M-H]-,C7H14N4O3
EQ24121857,EQ305751;EQ305754;EQ305756;EQ305755;EQ305753;EQ305752,213031,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,11.6,min,VDLGAVXLJYLFDH-UHFFFAOYSA-N,[M-H]-,C14H17Cl2NO2
EQ60037849,EQ301653;EQ301656;EQ301654;EQ301651;EQ301655;EQ301652,213039,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,8.8,min,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,[M-H]-,C27H37N3O7S
EQ50612908,EQ324054;EQ324055;EQ324051;EQ324053;EQ324052,225609,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)CC[C@@]43C)F)O)C)O,9.3,min,SYWHXTATXSMDSB-GSLJADNHSA-N,[M-H]-,C23H31FO6
EQ38845188,EQ324451;EQ324454;EQ324453;EQ324452;EQ324455;EQ324456,443967,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C,10.5,min,AKUJBENLRBOFTD-QZIXMDIESA-N,[M-H]-,C24H31FO6
EQ39235661,EQ310553;EQ310556;EQ310555;EQ310552;EQ310551;EQ310554,464205,C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(=O)(O)O,1.0,min,SGOIRFVFHAKUTI-ZCFIWIBFSA-N,[M-H]-,C9H14N5O4P
EQ92998345,EQ314753;EQ314754;EQ314755;EQ314752;EQ314751,550774,C1CC(NC1)C(=O)N,1.0,min,VLJNHYLEOZPXFW-UHFFFAOYSA-N,[M-H]-,C5H10N2O
EQ02065109,EQ301453;EQ301451;EQ301452;EQ301454;EQ301456;EQ301455,5251862,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)[NH3+])SC1)C(=O)[O-],4.4,min,ZAIPMKNFIOOWCQ-UHFFFAOYSA-N,[M-H]-,C16H17N3O4S
EQ67534818,EQ331654;EQ331651;EQ331655;EQ331652;EQ331653,5280450,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,19.4,min,OYHQOLUKZRVURQ-HZJYTTRNSA-N,[M-H]-,C18H32O2
EQ35877894,EQ328951;EQ328953;EQ328952;EQ328956;EQ328954;EQ328955,5311309,CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O,13.6,min,OELFLUMRDSZNSF-OFLPRAFFSA-N,[M-H]-,C19H27NO3
EQ13922664,EQ323856;EQ323855;EQ323851;EQ323852;EQ323854,5481173,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],3.3,min,ORFOPKXBNMVMKC-DWVKKRMSSA-N,[M-H]-,C22H22N6O7S2
EQ20312800,EQ312353;EQ312352;EQ312355;EQ312351;EQ312356;EQ312354,5493444,CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,9.6,min,UXOWGYHJODZGMF-QORCZRPOSA-N,[M-H]-,C30H53N3O6
EQ78809074,EQ314055;EQ314053;EQ314052;EQ314051;EQ314056;EQ314054,11286230,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H]([C@@H](CC[C@H](C[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,11.6,min,VQOXZBDYSJBXMA-NQTDYLQESA-N,[M-H]-,C47H75NO17
EQ25412364,EQ306152;EQ306155;EQ306151;EQ306156;EQ306153;EQ306154,11292824,COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC#C,10.7,min,KWLVWJPJKJMCSH-UHFFFAOYSA-N,[M-H]-,C23H22ClNO4
EQ59280065,EQ317051;EQ317052;EQ317056;EQ317054;EQ317055;EQ317053,11409499,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC(=C2)CNS(=O)(=O)C)C(=O)OC)OC,8.9,min,NIFKBBMCXCMCAO-UHFFFAOYSA-N,[M-H]-,C17H21N5O9S2
EQ68492724,EQ317752;EQ317753;EQ317754;EQ317756;EQ317755;EQ317751,11556911,CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC(F)(F)F,9.9,min,IUQAXCIUEPFPSF-UHFFFAOYSA-N,[M-H]-,C17H16ClF3O6S
EQ77995677,EQ325255;EQ325254;EQ325252;EQ325251;EQ325256;EQ325253,14217092,C/C=C\1/C(=O)N[C@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@H](CCC(=O)N1C)C(=O)O)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C)CCCN=C(N)N)C)C(=O)O,9.7,min,IXBQSRWSVIBXNC-HSKGSTCASA-N,[M-H]-,C41H60N8O10
EQ84683293,EQ318653;EQ318652;EQ318656;EQ318655;EQ318651;EQ318654,17887248,C1=NNNC1=O,1.0,min,QEASJVYPHMYPJM-UHFFFAOYSA-N,[M-H]-,C2H3N3O
EQ32399212,EQ325956;EQ325951;EQ325954;EQ325955,21513958,C1=CC(=CC=C1S(=N)(=O)O)Cl,5.6,min,HHHDJHHNEURCNV-UHFFFAOYSA-N,[M-H]-,C6H6ClNO2S
