accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
LQB4733431,LQB00172;LQB00558,65109,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC,9.916547,min,SLKDGVPOSSLUAI-UHFFFAOYSA-N,[M-H]-
LQB6208787,LQB00623;LQB00237,65144,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCCCCCCCCCC,8.578336,min,BIABMEZBCHDPBV-UHFFFAOYSA-N,[M-H]-
LQB6088348,LQB00713;LQB00327,181664,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CCCCCCCCCCCCCCC,8.56761,min,KLFKZIQAIPDJCW-UHFFFAOYSA-N,[M-H]-
LQB9146428,LQB00561;LQB00175,5282290,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,10.02496,min,FHQVHHIBKUMWTI-ZCXUNETKSA-N,[M-H]-
LQB7088006,LQB00241;LQB00627,5282293,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCC/C=C\CCCCCCCC,8.64695,min,PAZGBAOHGQRCBP-ZCXUNETKSA-N,[M-H]-
LQB6129368,LQB00562;LQB00176,6426727,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,9.478446,min,HBZNVZIRJWODIB-BCTRXSSUSA-N,[M-H]-
LQB1019377,LQB00206;LQB00592,6426737,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,10.13184,min,XYYHNDVKALDFHQ-HSBBONCLSA-N,[M-H]-
LQB7393238,LQB00184;LQB00570,6426738,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,9.323308,min,MPWUZHVZZKSTPV-LGFBOSHVSA-N,[M-H]-
LQB8868855,LQB00594;LQB00208,6437392,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,10.1563,min,MWRBNPKJOOWZPW-CLFAGFIQSA-N,[M-H]-
LQB6024177,LQB00219;LQB00605,9546727,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,8.872219,min,SSCDRSKJTAQNNB-MAZCIEHSSA-N,[M-H]-
