accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
LU560094,LU090652;LU090651;LU090654;LU090656;LU090655;LU090653,66,C1=CC(=C(C=C1Cl)O)Cl,18.134,min,RANCECPPZPIPNO-UHFFFAOYSA-N
LU448180,LU084852;LU084856;LU084853;LU084854;LU084851;LU084855,135,C1=CC(=CC=C1C(=O)O)O,14.944,min,FJKROLUGYXJWQN-UHFFFAOYSA-N
LU211470,LU066453;LU066456;LU066451;LU066452;LU066454;LU066455,196,C(CCC(=O)O)CC(=O)O,9.798,min,WNLRTRBMVRJNCN-UHFFFAOYSA-N
LU230730,LU048552;LU048554;LU034452;LU034451;LU034454;LU048553;LU034453;LU034455;LU048555;LU048551,243,C1=CC=C(C=C1)C(=O)O,11.691,min,WPYMKLBDIGXBTP-UHFFFAOYSA-N
LU376143,LU090955;LU090951;LU090953;LU090956;LU090954;LU090952,338,C1=CC=C(C(=C1)C(=O)O)O,14.935,min,YGSDEFSMJLZEOE-UHFFFAOYSA-N
LU973354,LU019054;LU019051;LU019053;LU019052;LU019056;LU019055,802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,14.046,min,SEOVTRFCIGRIMH-UHFFFAOYSA-N
LU367338,LU101554;LU101553;LU101556;LU101555;LU101552;LU101551,864,C1CSSC1CCCCC(=O)O,16.665,min,AGBQKNBQESQNJD-UHFFFAOYSA-N
LU292360,LU096153;LU096154;LU096151;LU096156;LU096155;LU096152,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,13.547,min,DRLFMBDRBRZALE-UHFFFAOYSA-N
LU290298,LU048851;LU048852;LU048853,938,C1=CC(=CN=C1)C(=O)O,2.448,min,PVNIIMVLHYAWGP-UHFFFAOYSA-N
LU361220,LU113954;LU113953;LU113952;LU113955;LU113951;LU113956,978,C1=CC(=CC=C1C(=O)O)N,12.151,min,ALYNCZNDIQEVRV-UHFFFAOYSA-N
LU033487,LU120252;LU098256;LU120254;LU098255;LU120251;LU098254;LU120253;LU120256;LU120255;LU098251;LU098253;LU098252,980,C1=CC(=CC=C1[N+](=O)[O-])O,13.856,min,BTJIUGUIPKRLHP-UHFFFAOYSA-N
LU523981,LU082253;LU082251;LU082254;LU082252,985,CCCCCCCCCCCCCCCC(=O)O,21.568,min,IPCSVZSSVZVIGE-UHFFFAOYSA-N
LU908097,LU036453;LU036451;LU036454;LU036452;LU036455,992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,20.3,min,IZUPBVBPLAPZRR-UHFFFAOYSA-N
LU892450,LU105554;LU105553;LU105552;LU105555;LU105551;LU105556,1017,C1=CC=C(C(=C1)C(=O)O)C(=O)O,13.283,min,XNGIFLGASWRNHJ-UHFFFAOYSA-N
LU526615,LU093055;LU093053;LU093051;LU093052;LU093054,1066,C1=CC(=C(N=C1)C(=O)O)C(=O)O,14.715,min,GJAWHXHKYYXBSV-UHFFFAOYSA-N
LU947645,LU095253;LU095254;LU095255;LU095251;LU095252;LU095256,1183,COC1=C(C=CC(=C1)C=O)O,14.17,min,MWOOGOJBHIARFG-UHFFFAOYSA-N
LU129386,LU032552;LU032556;LU032551;LU032554;LU032555;LU032553,1480,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,18.063,min,SMYMJHWAQXWPDB-UHFFFAOYSA-N
LU341349,LU131051;LU131052;LU131054;LU131055;LU131053;LU131056,1483,C1=C(C=C(C(=C1Br)O)Br)Br,19.046,min,BSWWXRFVMJHFBN-UHFFFAOYSA-N
LU476363,LU073752;LU073751;LU073755;LU073754;LU073756;LU073753,1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,16.963,min,OVSKIKFHRZPJSS-UHFFFAOYSA-N
LU027647,LU035451;LU035453;LU035452;LU035455;LU035454;LU035456,1488,COC(=O)COC1=C(C=C(C=C1)Cl)Cl,17.343,min,HWIGZMADSFQMOI-UHFFFAOYSA-N
LU846485,LU044752;LU044755;LU044751;LU044756;LU044753;LU044754,1493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,14.528,min,UFBJCMHMOXMLKC-UHFFFAOYSA-N
LU470554,LU098652;LU098654;LU098655;LU098653;LU098651,1732,CC1=C(C=CC(=C1)O)Cl,16.975,min,CFKMVGJGLGKFKI-UHFFFAOYSA-N
LU696103,LU088053;LU088054,1752,CCCCCCCCCC1=CC=C(C=C1)O,20.013,min,IGFHQQFPSIBGKE-UHFFFAOYSA-N
LU231177,LU092054;LU082752;LU092052;LU082755;LU092055;LU082754;LU092053;LU092056;LU092051;LU082753;LU082756;LU082751,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,15.511,min,CXOFVDLJLONNDW-UHFFFAOYSA-N
LU904182,LU070251;LU070256;LU070254;LU070252;LU070255;LU070253,1982,CC(=O)NP(=O)(OC)SC,5.731,min,YASYVMFAVPKPKE-UHFFFAOYSA-N
LU499509,LU082056;LU082053;LU082054;LU082055;LU082051;LU082052,1983,CC(=O)NC1=CC=C(C=C1)O,10.804,min,RZVAJINKPMORJF-UHFFFAOYSA-N
LU177491,LU036655;LU036654;LU036656;LU036653;LU036652;LU036651,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,8.459,min,BZKPWHYZMXOIDC-UHFFFAOYSA-N
LU622422,LU089456;LU089454;LU089455;LU089452;LU089453;LU089451,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,16.005,min,VGZSUPCWNCWDAN-UHFFFAOYSA-N
LU293772,LU028453;LU028456;LU028454;LU028455,2075,C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)N,11.8,min,GFGSZUNNBQXGMK-UHFFFAOYSA-N
LU539796,LU045353;LU045352;LU045354;LU045356;LU045351;LU045355,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,16.045,min,HXHWSAZORRCQMX-UHFFFAOYSA-N
LU102083,LU033352;LU033354;LU033356;LU033353;LU033355;LU033351,2126,CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C,19.353,min,SZWKGOZKRMMLAJ-UHFFFAOYSA-N
LU270400,LU117353;LU117352;LU117356;LU117354;LU117351;LU117355,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,13.547,min,ROBVIMPUHSLWNV-UHFFFAOYSA-N
LU469454,LU111851;LU111854;LU111855;LU111856;LU111852;LU111853,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,10.115,min,ZFXYFBGIUFBOJW-UHFFFAOYSA-N
LU834329,LU126253;LU126255;LU126256;LU126251;LU126254;LU126252,2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],10.668,min,LMEKQMALGUDUQG-UHFFFAOYSA-N
LU884803,LU120454;LU120451;LU120455;LU120453;LU120456;LU120452,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,15.674,min,ZOMSMJKLGFBRBS-UHFFFAOYSA-N
LU323719,LU051956;LU051951;LU051953;LU051954;LU051952;LU051955,2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,16.682,min,LKJPYSCBVHEWIU-UHFFFAOYSA-N
LU990576,LU136452;LU136453;LU136451;LU136454;LU136456;LU136455,2406,C1=C(C=C(C(=C1Cl)O)SC2=CC(=CC(=C2O)Cl)Cl)Cl,20.232,min,JFIOVJDNOJYLKP-UHFFFAOYSA-N
LU731415,LU077954;LU077953;LU077956;LU077951;LU077952;LU077955,2566,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,14.395,min,DUEPRVBVGDRKAG-UHFFFAOYSA-N
LU359967,LU067556;LU067552;LU067551;LU067555;LU067553;LU067554,2603,C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N,18.007,min,UGTJLJZQQFGTJD-UHFFFAOYSA-N
LU576651,LU045451;LU045456;LU045455;LU045453;LU045454,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,17.965,min,RZEKVGVHFLEQIL-UHFFFAOYSA-N
LU997575,LU053556;LU053552;LU053551;LU053553;LU053554;LU053555,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.306,min,ZKLPARSLTMPFCP-UHFFFAOYSA-N
LU840833,LU125151;LU125153;LU125152;LU125154,2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,14.287,min,WEQAYVWKMWHEJO-UHFFFAOYSA-N
LU973496,LU120752;LU120755;LU120751;LU120753;LU120754,2723,CC1=CC(=CC(=C1Cl)C)O,17.703,min,OSDLLIBGSJNGJE-UHFFFAOYSA-N
LU153140,LU077455;LU077452;LU077453;LU077454;LU077451;LU077456,2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,11.646,min,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
LU546285,LU042051;LU042053;LU042055;LU042052;LU042056;LU042054,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,15.72,min,RKWGIWYCVPQPMF-UHFFFAOYSA-N
LU178066,LU069151;LU069154;LU069152;LU069156;LU069155;LU069153,2763,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,18.091,min,KPSRODZRAIWAKH-UHFFFAOYSA-N
LU156257,LU107655;LU107656;LU107652;LU107651;LU107654;LU107653,2797,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,17.227,min,TXCGAZHTZHNUAI-UHFFFAOYSA-N
LU198679,LU099251;LU099254;LU099256;LU099252;LU099255;LU099253,2952,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],15.46,min,OZOMQRBLCMDCEG-UHFFFAOYSA-N
LU796743,LU096453;LU096452;LU096454;LU096451,2998,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,17.915,min,RGOVYLWUIBMPGK-UHFFFAOYSA-N
LU968269,LU099054;LU099055;LU099051;LU099053;LU099052;LU099056,3030,COC1=C(C=CC(=C1C(=O)O)Cl)Cl,16.963,min,IWEDIXLBFLAXBO-UHFFFAOYSA-N
LU175664,LU018652;LU018651,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,18.566,min,DCOPUUMXTXDBNB-UHFFFAOYSA-N
LU206943,LU113752;LU113756;LU113751;LU113755;LU113753;LU113754,3037,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,18.384,min,MDNWOSOZYLHTCG-UHFFFAOYSA-N
LU643881,LU100753;LU100751;LU100752;LU100754,3092,CC1=C(C=C(C=C1C(=O)N)[N+](=O)[O-])[N+](=O)[O-],12.504,min,ZEFNOZRLAWVAQF-UHFFFAOYSA-N
LU153622,LU120051;LU120052;LU120053;LU120054;LU120055;LU120056,3120,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,16.791,min,XMTQQYYKAHVGBJ-UHFFFAOYSA-N
LU034359,LU099952;LU099951;LU099955;LU099953;LU099956;LU099954,3220,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,19.838,min,RHMXXJGYXNZAPX-UHFFFAOYSA-N
LU952158,LU036852;LU036853;LU036854;LU036855;LU036851;LU036856,3225,C1CC2C(C(C1O2)C(=O)O)C(=O)O,7.968,min,GXEKYRXVRROBEV-UHFFFAOYSA-N
LU278354,LU112156;LU112153;LU112155;LU112154;LU112151;LU112152,3325,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,8.018,min,XUFQPHANEAPEMJ-UHFFFAOYSA-N
LU270936,LU059154;LU059151;LU059153;LU059156;LU059152;LU059155,3352,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,18.222,min,ZOCSXAVNDGMNBV-UHFFFAOYSA-N
LU251740,LU054256;LU054253;LU054255;LU054252;LU054251;LU054254,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,12.986,min,RFHAOTPXVQNOHP-UHFFFAOYSA-N
LU020721,LU036756;LU036752;LU036755;LU036754;LU036753;LU036751,3371,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,19.257,min,LPEPZBJOKDYZAD-UHFFFAOYSA-N
LU571544,LU016152;LU016151;LU016156;LU016154;LU016155;LU016153,3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,17.509,min,MKXKFYHWDHIYRV-UHFFFAOYSA-N
LU230705,LU063552;LU063554;LU063555;LU063551;LU063556;LU063553,3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,14.699,min,ZZUFCTLCJUWOSV-UHFFFAOYSA-N
LU134489,LU044854;LU044855;LU044856;LU044852;LU044851;LU044853,3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,19.739,min,HEMJJKBWTPKOJG-UHFFFAOYSA-N
LU276031,LU046754;LU046753;LU046752;LU046755;LU046751;LU046756,3478,CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,16.333,min,ZJJXGWJIGJFDTL-UHFFFAOYSA-N
LU235335,LU121152;LU121154;LU121155;LU121156;LU121151;LU121153,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,17.825,min,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
LU000212,LU130755;LU130752;LU130754;LU130751;LU130753;LU130756,3598,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,20.867,min,ACGUYXCXAPNIKK-UHFFFAOYSA-N
LU659657,LU051455;LU051456;LU051452;LU051451;LU051453;LU051454,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,8.152,min,JZUFKLXOESDKRF-UHFFFAOYSA-N
LU591081,LU128352;LU128351,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,18.73,min,HEFNNWSXXWATRW-UHFFFAOYSA-N
LU945251,LU068752;LU068756;LU068755;LU068754;LU068751;LU068753,3702,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,14.992,min,NDDAHWYSQHTHNT-UHFFFAOYSA-N
LU000796,LU034951;LU034955;LU034954;LU034953;LU034952;LU034956,3735,CCC(CC1=C(C(=C(C=C1I)I)N)I)C(=O)O,19.34,min,OIRFJRBSRORBCM-UHFFFAOYSA-N
LU243150,LU078155;LU078153;LU078151;LU078152;LU078154;LU078156,3830,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,11.237,min,QANMHLXAZMSUEX-UHFFFAOYSA-N
LU118967,LU022053;LU022052;LU022055;LU022051;LU022056;LU022054,3869,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,13.525,min,SGUAFYQXFOLMHL-UHFFFAOYSA-N
LU016323,LU136651;LU136654;LU136652;LU136653;LU136656;LU136655,3899,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,17.631,min,VHOGYURTWQBHIL-UHFFFAOYSA-N
LU442158,LU115355;LU115353;LU115354;LU115356;LU115352;LU115351,3969,CCCC1=C(C=CC(=C1O)C(=O)C)OCCCCC2=NNN=N2,17.659,min,MWYHLEQJTQJHSS-UHFFFAOYSA-N
LU198671,LU032755;LU032754;LU032752;LU032753;LU032756;LU032751,4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,19.431,min,HYYBABOKPJLUIN-UHFFFAOYSA-N
LU564950,LU112255;LU112253;LU112251;LU112252;LU112256;LU112254,4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,3.062,min,PZRHRDRVRGEVNW-UHFFFAOYSA-N
LU870382,LU084052;LU084051,4421,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,14.14,min,MHWLWQUZZRMNGJ-UHFFFAOYSA-N
LU802713,LU044252;LU044255;LU044251;LU044254;LU044253;LU044256,4474,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,14.882,min,ZBBHBTPTTSWHBA-UHFFFAOYSA-N
LU386329,LU027955;LU027951;LU027953;LU027954;LU027956;LU027952,4493,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,16.669,min,XWXYUMMDTVBTOU-UHFFFAOYSA-N
LU746002,LU056155;LU056151;LU056156;LU056152;LU056153;LU056154,4495,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,16.701,min,HYWYRSMBCFDLJT-UHFFFAOYSA-N
