accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
PR219372,PR309129,77,CC(C)C(CC(=O)O)(C(=O)O)O,3.25,min,BITYXLXUCSKTJS-UHFFFAOYSA-N
PR748440,PR305497;PR305478;PR305446;PR305511;PR305471;PR305504;PR305453,289,C1=CC=C(C(=C1)O)O,2.672717,min,YCIMNLLNPGFGHC-UHFFFAOYSA-N
PR681487,PR309126,309,C(C(=CC(=O)O)C(=O)O)C(=O)O,1.93,min,GTZCVFVGUGFEME-UHFFFAOYSA-N
PR767070,PR309127;PR309128,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.57,min,KRKNYBCHXYNGOX-UHFFFAOYSA-N
PR908754,PR305547;PR305556;PR305526;PR305550;PR305535;PR305529;PR305553;PR305532;PR309365;PR305541;PR309366;PR309364;PR305559;PR305544;PR305538,322,C1=CC(=CC=C1C=CC(=O)O)O,3.97,min,NGSWKAQJJWESNS-UHFFFAOYSA-N
PR048405,PR307316;PR307306;PR307326;PR307310;PR307312;PR307308;PR307304;PR307324;PR307322;PR307314;PR308727;PR307318;PR307320,346,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,1.877767,min,BJRNKVDFDLYUGJ-UHFFFAOYSA-N
PR642289,PR307309;PR307321;PR307315;PR307323;PR307313;PR307307;PR307325;PR308726;PR307303;PR307305;PR307317;PR307311;PR307319,346,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,1.877767,min,BJRNKVDFDLYUGJ-UHFFFAOYSA-N
PR339953,PR308146;PR308158;PR308162;PR308154;PR308160;PR308144;PR308148;PR308152;PR308150;PR308166;PR309425;PR308156;PR308164,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,2.04,min,LNTHITQWFMADLM-UHFFFAOYSA-N
PR201054,PR306373;PR306385;PR306379;PR306407;PR306418;PR306430;PR306395;PR306412;PR309368;PR306401;PR306424;PR306390;PR306367,425,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,6.4292,min,DXDRHHKMWQZJHT-UHFFFAOYSA-N
PR319687,PR309311,471,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,4.27,min,CXQWRCVTCMQVQX-UHFFFAOYSA-N
