accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
UT062639,UT002028;UT001011;UT001287;UT002483;UT002756;UT001747,6138,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,26.96,min,KILNVBDSWZSGLL-UHFFFAOYSA-N,[M+CH3COO]-
UT500033,UT001356;UT002096;UT002825,65109,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC,28.22,min,SLKDGVPOSSLUAI-UHFFFAOYSA-N,[M-H]-
UT846528,UT001860;UT001122;UT002592,102547,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC,44.09,min,LVNGJLRDBYCPGB-UHFFFAOYSA-N,[M-H]-
UT637870,UT001859;UT001121;UT002114;UT001373;UT002842;UT002591,6426734,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC,36.96,min,JRTZGTYHEHCHTM-UHFFFAOYSA-N,[M-H]-
UT143487,UT001131;UT002851;UT002123;UT002602;UT001869;UT001382,6426737,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,24.94,min,XYYHNDVKALDFHQ-HSBBONCLSA-N,[M-H]-
UT041939,UT001847;UT002578;UT001365;UT002834;UT002105;UT001109,6426738,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,17.42,min,MPWUZHVZZKSTPV-LGFBOSHVSA-N,[M-H]-
UT958347,UT002914;UT002186;UT001446,9547045,CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC,43.49,min,FENSRZKRANTRCP-UHFFFAOYSA-N,[M-H]-
UT532709,UT002916;UT001448;UT002188,9547053,CCCCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,51.81,min,CBAHOKDELPGZAO-UHFFFAOYSA-N,[M-H]-
UT637301,UT001344;UT002551;UT001818;UT001080;UT002813;UT002084,9827122,CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C,2.35,min,NEGQHKSYEYVFTD-UHFFFAOYSA-N,[M+CH3COO]-
UT404779,UT001998;UT002729;UT001257;UT002974;UT002248;UT001509,9832667,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.74,min,RJCZACBLQGCNCW-GZSOIYOPSA-N,[M-H]-
UT481911,UT002768;UT002493;UT001021;UT001757;UT001299;UT002040,9940652,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,16.22,min,IESVDEZGAHUQJU-SYGPSSPWSA-N,[M+CH3COO]-
UT364868,UT002027;UT002755;UT001286,10122972,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC,23.37,min,NPGWXTIWUUFYAB-UHFFFAOYSA-N,[M+CH3COO]-
