accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
AC36787191,AC000130;AC000134;AC000131;AC000132;AC000133,3220,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,3.82,min,RHMXXJGYXNZAPX-UHFFFAOYSA-N,[M+H]+,C15H10O5
AC10316819,AC000890;AC000892;AC000891;AC000889;AC000888,3442,CCCCC1=CN=C(C=C1)C(=O)O,2.53,min,DGMPVYSXXIOGJY-UHFFFAOYSA-N,[M+H]+,C10H13NO2
AC45427929,AC000690;AC000694;AC000693;AC000692;AC000691,3840,C1=C(OC=C(C1=O)O)CO,1.55,min,BEJNERDRQOWKJM-UHFFFAOYSA-N,[M+H]+,C6H6O4
AC32378760,AC000344;AC000346;AC000342;AC000345;AC000343,8223,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,2.7,min,XCGSFFUVFURLIX-VFGNJEKYSA-N,[M+H]+,C33H35N5O5
AC77050992,AC000231;AC000232;AC000230;AC000229,20501,C1=C(C=C(C(=CC1=O)O)O)C(=O)O,2.29,min,ZGKNMKBZOSTFCB-UHFFFAOYSA-N,[M+H]+,C8H6O5
AC78345099,AC000791;AC000792;AC000795;AC000793;AC000794,20966,C[C@@H]1CC2=C(C(=C(C=C2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)O)C(=O)O1,3.35,min,DAEYIVCTQUFNTM-ABAIWWIYSA-N,[M+H]+,C20H19NO6
AC29479032,AC000005;AC000004;AC000003;AC000001;AC000002,28516,CC1CC2=C(C(=CC=C2)O)C(=O)O1,3.44,min,KWILGNNWGSNMPA-UHFFFAOYSA-N,[M+H]+,C10H10O3
AC44653854,AC000505;AC000506;AC000507;AC000503;AC000504,30839,C[C@@]1(CC2=C(C3=C(C(=O)C=C(C3=O)OC)C(=C2[C@H]([C@H]1O)O)O)O)O,2.59,min,ZQNOLGRKZRDRQO-OAGGEKHMSA-N,[M+H]+,C16H16O8
AC39811009,AC000354;AC000353;AC000355;AC000356;AC000352,31116,CC(C)[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,2.78,min,HEFIYUQVAZFDEE-MKTPKCENSA-N,[M+H]+,C35H39N5O5
AC35758691,AC000177;AC000176;AC000175;AC000178;AC000179,34059,CC1=CC(=C(C2=C1C(=CC(=O)O2)OC)C3=C(C=C(C4=C3OC(=O)C=C4OC)C)OC)OC,3.58,min,CSJOUDOXDHMIAH-UHFFFAOYSA-N,[M+H]+,C24H22O8
