accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
AU21360752,AU510701,199,C(CCN=C(N)N)CN,4.318,min,QYPPJABKJHAVHS-UHFFFAOYSA-N,[M+H]+,C5H14N4
AU88644588,AU230604;AU230605;AU230602;AU230601;AU230606;AU230603,298,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],5.712,min,WIIZWVCIJKGZOK-UHFFFAOYSA-N,[M+H]+,C11H12Cl2N2O5
AU58489383,AU222805;AU222803;AU222804;AU222802;AU222801,412,C1CC(NC1)C2=CN=CC=C2,2.6,min,MYKUKUCHPMASKF-UHFFFAOYSA-N,[M+H]+,C9H12N2
AU78762565,AU270304;AU270303;AU270301;AU270302;AU270305;AU270306,444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,5.558,min,SNPPWIUOZRMYNY-UHFFFAOYSA-N,[M+H]+,C13H18ClNO
AU33225129,AU277306,588,CN1CC(=O)N=C1N,1.26,min,DDRJAANPRJIHGJ-UHFFFAOYSA-N,[M+H]+,C4H7N3O
AU05038532,AU279603;AU279604;AU279601;AU279605;AU279606,802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,5.726,min,SEOVTRFCIGRIMH-UHFFFAOYSA-N,[M+H]+,C10H9NO2
AU12450407,AU510901,1001,C1=CC=C(C=C1)CCN,3.816,min,BHHGXPLMPWCGHP-UHFFFAOYSA-N,[M+H]+,C8H11N
AU66616209,AU156006,1206,CC(CC1=CC=CC=C1)NC,4.346,min,MYWUZJCMWCOHBA-UHFFFAOYSA-N,[M+H]+,C10H15N
AU84352907,AU265104;AU265106;AU265103;AU265102;AU265105;AU265101,1302,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,9.102,min,CMWTZPSULFXXJA-UHFFFAOYSA-N,[M+H]+,C14H14O3
AU05540152,AU229302;AU229304;AU229301;AU229305;AU229303;AU229306,1530,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,5.681,min,UQVKZNNCIHJZLS-UHFFFAOYSA-N,[M+H]+,C13H12N4
AU81721809,AU171206,1615,CC(CC1=CC2=C(C=C1)OCO2)NC,4.346,min,SHXWCVYOXRDMCX-UHFFFAOYSA-N,[M+H]+,C11H15NO2
AU93289095,AU279206,1639,C1=NNC(=N1)N,1.345,min,KLSJWNVTNUYHDU-UHFFFAOYSA-N,[M+H]+,C2H4N4
AU18235017,AU279504;AU279505;AU279506;AU279501;AU279503,1826,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,3.878,min,DUUGKQCEGZLZNO-UHFFFAOYSA-N,[M+H]+,C10H9NO3
AU27710996,AU228103;AU228101;AU228105;AU228102;AU228106;AU228104,1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,4.643,min,GOEMGAFJFRBGGG-UHFFFAOYSA-N,[M+H]+,C18H28N2O4
AU92493130,AU215103;AU215105;AU215101;AU215102;AU215104,1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,9.854,min,FSQKKOOTNAMONP-UHFFFAOYSA-N,[M+H]+,C21H18ClNO6
AU02729526,AU215132;AU215133;AU215131,1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,9.185,min,FSQKKOOTNAMONP-UHFFFAOYSA-N,[M+Na]+,C21H18ClNO6
AU05263421,AU311105;AU311104;AU311103;AU311102;AU311101,1982,CC(=O)NP(=O)(OC)SC,2.931,min,YASYVMFAVPKPKE-UHFFFAOYSA-N,[M+H]+,C4H10NO3PS
AU41410915,AU276703;AU276702;AU276701;AU276706,1983,CC(=O)NC1=CC=C(C=C1)O,3.402,min,RZVAJINKPMORJF-UHFFFAOYSA-N,[M+H]+,C8H9NO2
AU80125183,AU322106;AU322105;AU322104;AU322103;AU322102;AU322101,1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,10.1,min,VTNQPKFIQCLBDU-UHFFFAOYSA-N,[M+H]+,C14H20ClNO2
AU82612788,AU231001;AU231006;AU231004;AU231002;AU231005;AU231003,2015,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2,6.973,min,FZEYVTFCMJSGMP-UHFFFAOYSA-N,[M+H]+,C13H9NO
AU43030554,AU322502;AU322501;AU322504;AU322505;AU322503,2078,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,10.2,min,XCSGPAVHZFQHGE-UHFFFAOYSA-N,[M+H]+,C14H20ClNO2
AU19332190,AU105802;AU105801;AU105803,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,9.357,min,HXHWSAZORRCQMX-UHFFFAOYSA-N,[M+H]+,C12H15N3O2S
AU42531864,AU157006,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,8.396,min,VREFGVBLTWBCJP-UHFFFAOYSA-N,[M+H]+,C17H13ClN4
AU39319023,AU267004;AU267001;AU267005;AU267002;AU267003;AU267006,2130,C1C2CC3CC1CC(C2)(C3)N,4.679,min,DKNWSYNQZKUICI-UHFFFAOYSA-N,[M+H]+,C10H17N
AU25153419,AU251102;AU251104,2132,C1CC(CCC1NCC2=CC(=CC(=C2N)Br)Br)O,12.652,min,JBDGDEWWOUBZPM-UHFFFAOYSA-N,[M+H]+,C13H18Br2N2O
AU35321298,AU111404;AU111402;AU111401;AU111403,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,3.86,min,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,[M+H]+,C7H8N4O2
AU30185760,AU273303;AU273302;AU273304;AU273305;AU273306;AU273301,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,11.846,min,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,[M+H]+,C25H29I2NO3
AU39420233,AU214202;AU214201;AU214204;AU214205;AU214203,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,3.9,min,NTJOBXMMWNYJFB-UHFFFAOYSA-N,[M+H]+,C17H27N3O4S
AU03982816,AU150405;AU150403;AU150406;AU150404;AU150402;AU150401,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,8.015,min,KRMDCWKBEZIMAB-UHFFFAOYSA-N,[M+H]+,C20H23N
