accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
BML9723000,BML00278;BML00287,253,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,3.467,min,YBJHBAHKTGYVGT-UHFFFAOYSA-N,[M+H]+,C10H16N2O3S
BML6750065,BML00963;BML00972,303,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,10.054,min,BHQCQFFYRZLCQQ-UHFFFAOYSA-N,[M+Na]+,C24H40O5
BML5570049,BML01359;BML01352;BML01366,323,C1=CC=C2C(=C1)C=CC(=O)O2,4.819,min,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,[M+H]+,C9H6O2
BML9006833,BML00569;BML00575,408,CN1C(CCC1=O)C2=CN=CC=C2,1.977,min,UIKROCXWUNQSPJ-UHFFFAOYSA-N,[M+H]+,C10H12N2O
BML2121006,BML01255,471,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,4.322,min,CXQWRCVTCMQVQX-UHFFFAOYSA-N,[M+H]+,C15H12O7
BML5155159,BML01023;BML01007;BML01015,596,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,0.39,min,UHDGCWIWMRVCDJ-UHFFFAOYSA-N,[M+H]+,C9H13N3O5
BML1910145,BML01280;BML01286,611,C(CC(=O)O)C(C(=O)O)N,0.372,min,WHUUTDBJXJRKMK-UHFFFAOYSA-N,[M+H]+,C5H9NO4
BML2671550,BML01184;BML01196;BML01190,624,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,0.4,min,NCMVOABPESMRCP-UHFFFAOYSA-N,[M+H]+,C9H14N3O7P
BML0314608,BML01219;BML01231;BML01225,636,C1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)O,1.919,min,OLXZPDWKRNYJJZ-UHFFFAOYSA-N,[M+H]+,C10H13N5O3
BML5741665,BML01070,773,C1=C(NC=N1)CC(C(=O)O)N,0.32,min,HNDVDQJCIGZPNO-UHFFFAOYSA-N,[M+H]+,C6H9N3O2
BML1350813,BML01532;BML01544,776,C1=C(NC=N1)CC(CO)N,0.298,min,ZQISRDCJNBUVMM-UHFFFAOYSA-N,[M+H]+,C6H11N3O
