accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
CE43852658,CE000274;CE000264;CE000262;CE000275;CE000270;CE000268;CE000269;CE000265;CE000271;CE000267;CE000272;CE000263;CE000273;CE000276;CE000266,232,C(CC(C(=O)O)N)CN=C(N)N,5260.97,sec,ODKSFYDXXFIFQN-UHFFFAOYSA-N,[M+H]+,C6H14N4O2
CE17701739,CE000597;CE000600;CE000603;CE000602;CE000596;CE000595;CE000601;CE000599;CE000598,595,C(C(C(=O)O)N)SSCC(C(=O)O)N,7794.52,sec,LEVWYRKDKASIDU-UHFFFAOYSA-N,[M+H]+,C6H12N2O4S2
CE22163679,CE000660;CE000661;CE000658;CE000656;CE000662;CE000657;CE000653;CE000652;CE000659;CE000655;CE000654;CE000651,611,C(CC(=O)O)C(C(=O)O)N,3346.24,sec,WHUUTDBJXJRKMK-UHFFFAOYSA-N,[M+H]+,C5H9NO4
CE85558459,CE000625;CE000633;CE000634;CE000626;CE000639;CE000630;CE000628;CE000638;CE000629;CE000627;CE000632;CE000631;CE000624;CE000636;CE000623;CE000622;CE000635;CE000637,614,C1CC(NC1)C(=O)O,43.5575,sec,ONIBWKKTOPOVIA-UHFFFAOYSA-N,[M+H]+,C5H9NO2
CE32568056,CE000495;CE000491;CE000494;CE000498;CE000500;CE000497;CE000493;CE000503;CE000499;CE000502;CE000492;CE000490;CE000504;CE000496;CE000501,617,C(C(C(=O)O)N)O,20.1761,sec,MTCFGRXMJLQNBG-UHFFFAOYSA-N,[M+H]+,C3H7NO3
CE83614535,CE000620;CE000614;CE000616;CE000619;CE000613;CE000615;CE000617;CE000611;CE000609;CE000612;CE000610;CE000618,791,CCC(C)C(C(=O)O)N,24.937,sec,AGPKZVBTJJNPAG-UHFFFAOYSA-N,[M+H]+,C6H13NO2
CE75029969,CE000683;CE000684;CE000686;CE000681;CE000687;CE000682;CE000688;CE000685;CE000689;CE000690,857,CC(C)CC(C(=O)O)N,1524.38,sec,ROHFNLRQFUQHCH-UHFFFAOYSA-N,[M+H]+,C6H13NO2
CE82576515,CE000449;CE000444;CE000452;CE000448;CE000450;CE000443;CE000442;CE000445;CE000446;CE000447;CE000451,876,CSCCC(C(=O)O)N,3778.47,sec,FFEARJCKVFRZRR-UHFFFAOYSA-N,[M+H]+,C5H11NO2S
CE72264694,CE000284;CE000279;CE000278;CE000277;CE000283;CE000281;CE000285;CE000280;CE000282,994,C1=CC=C(C=C1)CC(C(=O)O)N,4775.9,sec,COLNVLDHVKWLRT-UHFFFAOYSA-N,[M+H]+,C9H11NO2
CE28345772,CE000228;CE000231;CE000229;CE000230;CE000226;CE000232;CE000225;CE000227;CE000224,1153,C1=CC(=CC=C1CC(C(=O)O)N)O,6666.0,sec,OUYCCCASQSFEME-UHFFFAOYSA-N,[M+H]+,C9H11NO3
CE66542766,CE000571;CE000575;CE000574;CE000576;CE000570;CE000579;CE000563;CE000566;CE000578;CE000565;CE000569;CE000572;CE000564;CE000573;CE000577;CE000567;CE000568;CE000562,1182,CC(C)C(C(=O)O)N,481.188,sec,KZSNJWFQEVHDMF-UHFFFAOYSA-N,[M+H]+,C5H11NO2
CE19819820,CE000113;CE000114,2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,593.994,sec,YBHILYKTIRIUTE-UHFFFAOYSA-N,[M]+,C20H18NO4+
CE24621433,CE000159;CE000161;CE000160;CE000158,2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,867.556,sec,BGEBZHIAGXMEMV-UHFFFAOYSA-N,[M+H]+,C12H8O4
CE93964743,CE000126;CE000124;CE000125;CE000123,3830,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,0.0,sec,QANMHLXAZMSUEX-UHFFFAOYSA-N,[M+H]+,C10H9N5O
CE38565148,CE000016;CE000015;CE000018;CE000017,5610,C1=CC(=CC=C1CCN)O,506.793,sec,DZGWFCGJZKJUFP-UHFFFAOYSA-N,[M+H]+,C8H11NO
CE50478603,CE000148;CE000146;CE000149;CE000150;CE000151;CE000147,5770,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,754.086,sec,QEVHRUUCFGRFIF-MDEJGZGSSA-N,[M+H]+,C33H40N2O9
CE33813595,CE000234,5780,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,24.11,sec,FBPFZTCFMRRESA-JGWLITMVSA-N,[M+H]+,C6H14O6
