accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
EA12245272,EA280301;EA280314,444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,5.8,min,SNPPWIUOZRMYNY-UHFFFAOYSA-N,[M+H]+,C13H18ClNO
EA82181098,EA020201;EA020214,1302,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,10.2,min,CMWTZPSULFXXJA-UHFFFAOYSA-N,[M+H]+,C14H14O3
EA81180466,EA281814;EA281801,1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,5.2,min,VHFVKMTVMIZMIK-UHFFFAOYSA-N,[M+H]+,C10H13ClN2
EA28922848,EA024314;EA024301,1983,CC(=O)NC1=CC=C(C=C1)O,2.2,min,RZVAJINKPMORJF-UHFFFAOYSA-N,[M+H]+,C8H9NO2
EA18287521,EA010414;EA010401,1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,11.7,min,VTNQPKFIQCLBDU-UHFFFAOYSA-N,[M+H]+,C14H20ClNO2
EA35302844,EA027414;EA027401,2078,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,11.7,min,XCSGPAVHZFQHGE-UHFFFAOYSA-N,[M+H]+,C14H20ClNO2
EA68030622,EA285101;EA285114,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,2.0,min,NDAUXUAQIAJITI-UHFFFAOYSA-N,[M+H]+,C13H21NO3
EA36674659,EA023901;EA023914,2140,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,1.6,min,YVPYQUNUQOZFHG-UHFFFAOYSA-N,[M+H]+,C11H9I3N2O4
EA94028937,EA084501;EA084514,2151,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N,2.6,min,RLFWWDJHLFCNIJ-UHFFFAOYSA-N,[M+H]+,C11H13N3O
EA63016927,EA285201;EA285214,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,3.8,min,NTJOBXMMWNYJFB-UHFFFAOYSA-N,[M+H]+,C17H27N3O4S
EA78134305,EA282114;EA282101,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,8.6,min,KRMDCWKBEZIMAB-UHFFFAOYSA-N,[M+H]+,C20H23N
EA70158406,EA033814;EA033801,2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2,4.6,min,VEQOALNAAJBPNY-UHFFFAOYSA-N,[M+H]+,C11H12N2O
EA67833594,EA016914;EA016901,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2.0,min,METKIMKYRPQLGS-UHFFFAOYSA-N,[M+H]+,C14H22N2O3
EA26146475,EA028801;EA028814,2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,8.3,min,MXWJVTOOROXGIU-UHFFFAOYSA-N,[M+H]+,C8H14ClN5
EA50661851,EA025314;EA025301,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,7.5,min,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,[M+H]+,C10H12N2O3S
EA61552839,EA282314;EA282301,2340,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)O,4.6,min,GVGYEFKIHJTNQZ-UHFFFAOYSA-N,[M+H]+,C16H19NO4
EA29948462,EA030301;EA030314,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,4.0,min,RYYVLZVUVIJVGH-UHFFFAOYSA-N,[M+H]+,C8H10N4O2
EA20295696,EA067414;EA067401,2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,7.3,min,SGTNSNPWRIOYBX-UHFFFAOYSA-N,[M+H]+,C27H38N2O4
EA49657117,EA280401;EA280414,2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,9.3,min,HTQMVQVXFRQIKW-UHFFFAOYSA-N,[M+H]+,C24H20N6O3
EA87753888,EA019414;EA019401,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,7.8,min,FFGPTBGBLSHEPO-UHFFFAOYSA-N,[M+H]+,C15H12N2O
EA20325708,EA091601;EA091614,2555,C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N,6.3,min,ZRWWEEVEIOGMMT-UHFFFAOYSA-N,[M+H]+,C15H12N2O2
EA38554007,EA277214;EA277201,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,9.3,min,ZKLPARSLTMPFCP-UHFFFAOYSA-N,[M+H]+,C21H25ClN2O3
