accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
EQ69665825,EQ369602;EQ369605;EQ369603;EQ369608;EQ369604;EQ369609;EQ369607;EQ369601;EQ369606,338,C1=CC=C(C(=C1)C(=O)O)O,6.4,min,YGSDEFSMJLZEOE-UHFFFAOYSA-N,[M+H]+,C7H6O3
EQ71796079,EQ328001;EQ328006;EQ328004;EQ328009;EQ328003;EQ328007;EQ328002;EQ328008;EQ328005,412,C1CC(NC1)C2=CN=CC=C2,1.0,min,MYKUKUCHPMASKF-UHFFFAOYSA-N,[M+H]+,C9H12N2
EQ04552132,EQ358308;EQ358309;EQ358304;EQ358307;EQ358301;EQ358306;EQ358305;EQ358302;EQ358303,1250,CC12CCN(C1N(C3=C2C=C(C=C3)O)C)C,2.4,min,HKGWQUVGHPDEBZ-UHFFFAOYSA-N,[M+H]+,C13H18N2O
EQ08982411,EQ371505;EQ371508;EQ371503;EQ371506;EQ371502;EQ371501;EQ371509;EQ371507;EQ371504,1614,CC(CC1=CC2=C(C=C1)OCO2)N,3.6,min,NGBBVGZWCFBOGO-UHFFFAOYSA-N,[M+H]+,C10H13NO2
EQ48584548,EQ361302;EQ361309;EQ361306;EQ361308;EQ361303;EQ361307;EQ361304;EQ361305;EQ361301,1615,CC(CC1=CC2=C(C=C1)OCO2)NC,3.6,min,SHXWCVYOXRDMCX-UHFFFAOYSA-N,[M+H]+,C11H15NO2
EQ21644577,EQ358009;EQ358006;EQ358007;EQ358001;EQ358008;EQ358002;EQ358004;EQ358005;EQ358003,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,7.8,min,HXHWSAZORRCQMX-UHFFFAOYSA-N,[M+H]+,C12H15N3O2S
EQ27519235,EQ335005;EQ335009;EQ335004;EQ335001;EQ335003;EQ335002;EQ335007;EQ335006;EQ335008,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,5.3,min,WNMJYKCGWZFFKR-UHFFFAOYSA-N,[M+H]+,C19H27N5O4
EQ83653494,EQ363203;EQ363206;EQ363209;EQ363202;EQ363201;EQ363204;EQ363208;EQ363205;EQ363207,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,3.2,min,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,[M+H]+,C7H8N4O2
EQ56935963,EQ366102;EQ366101;EQ366107;EQ366106;EQ366103;EQ366104;EQ366109;EQ366105;EQ366108,2174,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,4.7,min,AVKUERGKIZMTKX-UHFFFAOYSA-N,[M+H]+,C16H19N3O4S
EQ53459451,EQ357801;EQ357802;EQ357803;EQ357807;EQ357809;EQ357808;EQ357806;EQ357805;EQ357804,2244,CC(=O)OC1=CC=CC=C1C(=O)O,20.3,min,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,[M+H]+,C9H8O4
EQ77109284,EQ365504;EQ365509;EQ365503;EQ365507;EQ365502;EQ365508;EQ365506;EQ365501;EQ365505,2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,9.2,min,CJJOSEISRRTUQB-UHFFFAOYSA-N,[M+H]+,C10H12N3O3PS2
EQ37513315,EQ359707;EQ359703;EQ359708;EQ359706;EQ359705;EQ359709;EQ359704;EQ359702;EQ359701,2347,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,14.2,min,IRIAEXORFWYRCZ-UHFFFAOYSA-N,[M+H]+,C19H20O4
EQ57546294,EQ362802;EQ362806;EQ362809;EQ362801;EQ362807;EQ362808;EQ362803;EQ362805;EQ362804,2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,7.0,min,VMIYHDSEFNYJSL-UHFFFAOYSA-N,[M+H]+,C14H10BrN3O
EQ04807489,EQ366202;EQ366201;EQ366207;EQ366208;EQ366209;EQ366206;EQ366204;EQ366203;EQ366205,2610,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,2.4,min,BOEGTKLJZSQCCD-UHFFFAOYSA-N,[M+H]+,C16H17N3O5S
EQ49058167,EQ366309;EQ366308;EQ366302;EQ366307;EQ366303;EQ366305;EQ366304;EQ366306;EQ366301,2618,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,4.5,min,MLYYVTUWGNIJIB-UHFFFAOYSA-N,[M+H]+,C14H14N8O4S3
