accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
ET32865038,ET050206;ET050202;ET050203;ET050204;ET050205;ET050201,1206,CC(CC1=CC=CC=C1)NC,9.6,min,MYWUZJCMWCOHBA-UHFFFAOYSA-N,[M+H]+,C10H15N
ET24726073,ET130002;ET130004;ET130003;ET130005;ET130001,1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,11.4,min,VHFVKMTVMIZMIK-UHFFFAOYSA-N,[M+H]+,C10H13ClN2
ET66624649,ET010002;ET010004;ET010005;ET010001;ET010003,2710,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,14.6,min,WFNAKBGANONZEQ-UHFFFAOYSA-N,[M+H]+,C18H21ClN2
ET78195337,ET060005;ET060004;ET060002;ET060001;ET060003,3337,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,12.7,min,DBGIVFWFUFKIQN-UHFFFAOYSA-N,[M+H]+,C12H16F3N
ET11191401,ET070002;ET070004;ET070003;ET070005;ET070001,3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,14.8,min,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,[M+H]+,C17H18F3NO
ET64754149,ET080005;ET080001;ET080004;ET080002;ET080003,3676,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,10.4,min,NNJVILVZKWQKPM-UHFFFAOYSA-N,[M+H]+,C14H22N2O
ET19609691,ET090004;ET090003;ET090001;ET090002;ET090005,4178,CC1=C(C(=CC=C1)C)OCC(C)N,12.3,min,VLPIATFUUWWMKC-UHFFFAOYSA-N,[M+H]+,C11H17NO
ET67602239,ET140005;ET140001;ET140003;ET140002;ET140004,4688,CN(CC#C)CC1=CC=CC=C1,8.6,min,DPWPWRLQFGFJFI-UHFFFAOYSA-N,[M+H]+,C11H13N
ET98261012,ET150003;ET150005;ET150002;ET150001;ET150004,4761,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2,9.9,min,IJHNSHDBIRRJRN-UHFFFAOYSA-N,[M+H]+,C16H20N2
ET70499379,ET160004;ET160001;ET160003;ET160002;ET160005,4908,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,13.2,min,INDBQLZJXZLFIT-UHFFFAOYSA-N,[M+H]+,C15H21N3O
