accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
KW38476636,KW107904;KW107903;KW107902;KW107901,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,5.873,min,RYYVLZVUVIJVGH-UHFFFAOYSA-N,[M+H]+,C8H10N4O2
KW70575872,KW107301;KW107303;KW107304;KW107302,2555,C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N,12.085,min,ZRWWEEVEIOGMMT-UHFFFAOYSA-N,[M+H]+,C15H12N2O2
KW67497542,KW108403;KW108402;KW108404,2566,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,15.352,min,DUEPRVBVGDRKAG-UHFFFAOYSA-N,[M+H]+,C12H15NO3
KW88731357,KW104804;KW104802;KW104803,3094,CCCCCCCCNCCCCCCCC,22.885,min,LAWOZCWGWDVVSG-UHFFFAOYSA-N,[M+H]+,C16H35N
KW53312266,KW104104;KW104101;KW104103;KW104102,3352,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,25.63,min,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,[M+H]+,C12H4Cl2F6N4OS
KW58708825,KW107402;KW107403;KW107401;KW107404,3749,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,16.137,min,YOSHYTLCDANDAN-UHFFFAOYSA-N,[M+H]+,C25H28N6O
KW19441554,KW108202;KW108201;KW108204;KW108203,4169,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,23.265,min,WVQBLGZPHOPPFO-UHFFFAOYSA-N,[M+H]+,C15H22ClNO2
KW89377850,KW108002;KW108001;KW108003;KW108004,4171,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,8.915,min,IUBSYMUCCVWXPE-UHFFFAOYSA-N,[M+H]+,C15H25NO3
KW19543790,KW108304;KW108303;KW108301;KW108302,4616,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,15.688,min,ADIMAYPTOBDMTL-UHFFFAOYSA-N,[M+H]+,C15H11ClN2O2
KW44149626,KW108603;KW108604;KW108602;KW108601,6626,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,11.889,min,VPWNQTHUCYMVMZ-UHFFFAOYSA-N,[M+H]+,C12H10O4S
KW54826826,KW106203;KW106204;KW106202,6828,CCN(C1=CC=CC=C1)C(=O)N(CC)C2=CC=CC=C2,23.996,min,PZIMIYVOZBTARW-UHFFFAOYSA-N,[M+H]+,C17H20N2O
KW05289475,KW106803;KW106802;KW106804;KW106801,7034,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)Cl)Cl,28.332,min,OKISUZLXOYGIFP-UHFFFAOYSA-N,[M+H]+,C13H8Cl2O
KW40192630,KW104301;KW104304;KW104302;KW104303,7203,CCOC1=CC=CC=C1N,5.03,min,ULHFFAFDSSHFDA-UHFFFAOYSA-N,[M+H]+,C8H11NO
KW54620701,KW107804;KW107802;KW107803,7220,C1=CC2=NNN=C2C=C1,7.124,min,QRUDEWIWKLJBPS-UHFFFAOYSA-N,[M+H]+,C6H5N3
KW19197025,KW101202;KW101204;KW101203,7348,CCCCCCCCCCCC(=O)N(C)CC(=O)O,26.193,min,BACYUWVYYTXETD-UHFFFAOYSA-N,[M+H]+,C15H29NO3
KW00728717,KW100702;KW100703;KW100704,7594,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,7.592,min,OWRCNXZUPFZXOS-UHFFFAOYSA-N,[M+H]+,C13H13N3
KW06094547,KW106604;KW106601;KW106602;KW106603,7644,COC(=O)C=CC1=CC=CC=C1,20.119,min,CCRCUPLGCSFEDV-UHFFFAOYSA-N,[M+H]+,C10H10O2
KW84360641,KW103803;KW103802;KW103804;KW103801,7784,CCCCOC(=O)CCCCC(=O)OCCCC,28.446,min,XTJFFFGAUHQWII-UHFFFAOYSA-N,[M+H]+,C14H26O4
KW74154358,KW104702;KW104704;KW104703,7791,CCCCC(CC)CNCC(CC)CCCC,21.132,min,SAIKULLUBZKPDA-UHFFFAOYSA-N,[M+H]+,C16H35N
KW49216977,KW108904;KW108902;KW108903,8189,COCCOCCOCCOC,5.883,min,YFNKIDBQEZZDLK-UHFFFAOYSA-N,[M+H]+,C8H18O4
KW18506686,KW103201;KW103204;KW103203;KW103202,8295,C(CCl)OP(=O)(OCCCl)OCCCl,16.204,min,HQUQLFOMPYWACS-UHFFFAOYSA-N,[M+H]+,C6H12Cl3O4P
KW87945846,KW100203;KW100201;KW100204;KW100202,8445,CC1=CC(=C(C=C1)OC)N,5.153,min,WXWCDTXEKCVRRO-UHFFFAOYSA-N,[M+H]+,C8H11NO
KW55776056,KW102501;KW102502;KW102503;KW102504,9076,CCOC1=CC=C(C=C1)N,4.809,min,IMPPGHMHELILKG-UHFFFAOYSA-N,[M+H]+,C8H11NO
KW05288180,KW108101;KW108104;KW108102;KW108103,13097,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,17.809,min,FIQMHBFVRAXMOP-UHFFFAOYSA-N,[M+H]+,C18H15OP
