accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
LU38159232,LU090605;LU090606;LU090602;LU090603;LU090601,66,C1=CC(=C(C=C1Cl)O)Cl,25.354,min,RANCECPPZPIPNO-UHFFFAOYSA-N,[M+H]+,C6H4Cl2O
LU73637203,LU132103;LU132101;LU132105;LU132102;LU132104;LU132106,444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,13.415,min,SNPPWIUOZRMYNY-UHFFFAOYSA-N,[M+H]+,C13H18ClNO
LU02153497,LU096102;LU096103;LU096105;LU096106;LU096104;LU096101,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,13.555,min,DRLFMBDRBRZALE-UHFFFAOYSA-N,[M+H]+,C13H16N2O2
LU14980512,LU025102;LU025104;LU025106;LU025101;LU025103;LU025105,936,C1=CC(=CN=C1)C(=O)N,2.445,min,DFPAKSUCGFBDDF-UHFFFAOYSA-N,[M+H]+,C6H6N2O
LU65480297,LU048801;LU048806;LU048805;LU048802;LU048804;LU048803,938,C1=CC(=CN=C1)C(=O)O,2.48,min,PVNIIMVLHYAWGP-UHFFFAOYSA-N,[M+H]+,C6H5NO2
LU44113610,LU120203;LU120205;LU120201;LU120202,980,C1=CC(=CC=C1[N+](=O)[O-])O,17.789,min,BTJIUGUIPKRLHP-UHFFFAOYSA-N,[M+H]+,C6H5NO3
LU88649531,LU100805;LU100804;LU017603;LU017604;LU100803;LU017601;LU100802;LU100801;LU100806;LU017606;LU017602;LU017605,1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,9.89,min,DGEZNRSVGBDHLK-UHFFFAOYSA-N,[M+H]+,C12H8N2
LU46603122,LU067604;LU067601;LU067602;LU067605;LU067603;LU067606,1345,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,18.557,min,RAVIZVQZGXBOQO-UHFFFAOYSA-N,[M+H]+,C21H21ClN2O
LU84276669,LU099404;LU099402;LU099405,1923,C1=CC2=C(C(=C1)O)N=CC=C2,8.051,min,MCJGNVYPOGVAJF-UHFFFAOYSA-N,[M+H]+,C9H7NO
LU72513554,LU049902;LU049901;LU049905;LU049904;LU049906;LU049903,1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,12.075,min,YLJREFDVOIBQDA-UHFFFAOYSA-N,[M+H]+,C13H14N2
LU29800217,LU070206;LU070203;LU070205;LU070204;LU070202;LU070201,1982,CC(=O)NP(=O)(OC)SC,5.78,min,YASYVMFAVPKPKE-UHFFFAOYSA-N,[M+H]+,C4H10NO3PS
LU17425163,LU082004;LU082002;LU082001;LU082005;LU082003;LU082006,1983,CC(=O)NC1=CC=C(C=C1)O,8.041,min,RZVAJINKPMORJF-UHFFFAOYSA-N,[M+H]+,C8H9NO2
LU88172342,LU036602;LU036603;LU036601;LU036604;LU036605;LU036606,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,8.531,min,BZKPWHYZMXOIDC-UHFFFAOYSA-N,[M+H]+,C4H6N4O3S2
LU38079088,LU117401;LU117404;LU117405;LU117406;LU117403;LU117402,1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,18.047,min,VTNQPKFIQCLBDU-UHFFFAOYSA-N,[M+H]+,C14H20ClNO2
LU72594819,LU089405;LU089401;LU089402;LU089403;LU089406,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,16.086,min,VGZSUPCWNCWDAN-UHFFFAOYSA-N,[M+H]+,C15H20N2O4S
