accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
NA16577188,NA003374;NA003378;NA003009;NA002627;NA003748;NA003749;NA002624;NA003008;NA003010;NA003007;NA003750;NA003375;NA002623;NA002625;NA002626;NA003751;NA003006;NA003376;NA003377;NA003747,190,C1=NC2=C(N1)C(=NC=N2)N,0.698,min,GFFGJBXGBJISGV-UHFFFAOYSA-N,[M+H]+,C5H5N5
NA59314468,NA003349;NA002975;NA002976;NA003723;NA003720;NA002978;NA002588;NA002977;NA002974;NA002589;NA003352;NA003351;NA003722;NA002586;NA003721;NA003353;NA002587;NA003719;NA002590;NA003350,323,C1=CC=C2C(=C1)C=CC(=O)O2,7.074,min,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,[M+H]+,C9H6O2
NA84168821,NA000809;NA001574;NA000937;NA001443;NA001439;NA001441;NA001703;NA001060;NA001939;NA001187;NA001062;NA002053;NA001819;NA001821;NA001191;NA001316;NA001699;NA001314;NA001701;NA002055;NA001941;NA000968;NA001318;NA000807;NA001937;NA001189;NA000939;NA001578;NA001576;NA001064;NA002057;NA000811;NA001823,2181,C1CCNC(C1)C2=CN=CC=C2,0.419,min,MTXSIJUGVMTTMU-UHFFFAOYSA-N,[M+H]+,C10H14N2
NA53682545,NA000820;NA001451;NA002063;NA001713;NA000945;NA001449;NA001951;NA001453;NA000816;NA001586;NA001072;NA000943;NA001584;NA001199;NA001831;NA001711;NA001947;NA001949;NA001197;NA000818;NA001070;NA002067;NA001201;NA002065;NA001588;NA001074;NA001328;NA001326;NA000941;NA001324;NA001709;NA001833;NA001829,2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,9.922,min,BGEBZHIAGXMEMV-UHFFFAOYSA-N,[M+H]+,C12H8O4
NA29515580,NA001766;NA002122;NA001648;NA001388;NA001008;NA001136;NA001254;NA002124;NA001258;NA001895;NA000882;NA001893;NA001134;NA001768;NA002009;NA001132;NA000878;NA001644;NA001511;NA001256;NA001513;NA000880;NA001764;NA001384;NA001891;NA002120;NA001012;NA001386;NA001646;NA001010;NA001509,3449,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0.58,min,ASUTZQLVASHGKV-UHFFFAOYSA-N,[M+H]+,C17H21NO3
NA48405371,NA003740;NA002606;NA002996;NA002608;NA003741;NA002610;NA002997;NA003739;NA002607;NA002998;NA002995;NA002994;NA002609,3473,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O,11.616,min,NLDDIKRKFXEWBK-UHFFFAOYSA-N,[M+H]+,C17H26O4
NA62244925,NA003046;NA003410;NA002663;NA002269;NA003411;NA003409;NA002664;NA002666;NA002267;NA002266;NA002662;NA003047;NA002265;NA003413;NA003044;NA003048;NA003045;NA003412;NA002268;NA002665,4680,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,7.581,min,XQYZDYMELSJDRZ-UHFFFAOYSA-N,[M+H]+,C20H21NO4
NA22876922,NA003515;NA002376;NA003150;NA002374;NA002771;NA002377;NA002772;NA003518;NA002378;NA003149;NA002769;NA003153;NA003514;NA003516;NA002770;NA003517;NA003151;NA002773;NA002375;NA003152,4970,CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C5=C(C=C4)OCO5)OCO3,6.681,min,GPTFURBXHJWNHR-UHFFFAOYSA-N,[M+H]+,C20H19NO5
NA26836806,NA002310;NA002312;NA002313;NA002311;NA002309,5770,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,10.094,min,QEVHRUUCFGRFIF-MDEJGZGSSA-N,[M+H]+,C33H40N2O9
NA30603879,NA003093;NA003090;NA003089;NA003457;NA002711;NA003454;NA003092;NA002713;NA002710;NA003458;NA003455;NA003091;NA002709;NA002712;NA003456,5910,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C,0.62,min,QCHFTSOMWOSFHM-WPRPVWTQSA-N,[M+H]+,C11H16N2O2
NA92017651,NA003073;NA003435;NA002688;NA003070;NA002292;NA002689;NA002690;NA003071;NA003437;NA002294;NA003436;NA002687;NA003069;NA002691;NA002293;NA003072;NA002290;NA003434;NA003438;NA002291,6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,9.254,min,IAKHMKGGTNLKSZ-INIZCTEOSA-N,[M+H]+,C22H25NO6
NA92721914,NA001483;NA000975;NA001738;NA001102;NA001358;NA001356;NA001614;NA001981;NA001479;NA000977;NA001234;NA001979;NA002095;NA001736;NA001616;NA002099;NA001231;NA000973;NA000848;NA000850;NA001481;NA001863;NA001983;NA001734;NA001618;NA000846;NA001354;NA001861;NA002097;NA001229;NA001865,6199,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,9.033,min,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,[M+H]+,C11H6O3
NA82908600,NA002146;NA002144,6199,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,9.061,min,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,[M+Na]+,C11H6O3
NA91139532,NA002584;NA002583;NA002969;NA003718;NA002973;NA003716;NA003348;NA003714;NA003715;NA002970;NA002971;NA003346;NA002582;NA003344;NA003347;NA002972;NA002581;NA002585;NA003717;NA003345,6544,CC1=CC(=O)CC(C1)(C)C,8.687,min,HJOVHMDZYOCNQW-UHFFFAOYSA-N,[M+H]+,C9H14O
