accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
PR87912877,PR310810,149,CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O,2.7,min,WUUGFSXJNOTRMR-UHFFFAOYSA-N,[M+H]+,C11H15N5O3S
PR86414590,PR310808,191,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,1.88,min,OIRDTQYFTABQOQ-UHFFFAOYSA-N,[M+H]+,C10H13N5O4
PR34519195,PR311149,207,C(CC=O)CC(C(=O)O)N,2.42,min,GFXYTQPNNXGICT-UHFFFAOYSA-N,[M+H]+,C6H11NO3
PR28799595,PR311090,322,C1=CC(=CC=C1C=CC(=O)O)O,4.01,min,NGSWKAQJJWESNS-UHFFFAOYSA-N,[M+H]+,C9H8O3
PR81574668,PR304100;PR304092;PR304096;PR304087;PR304094;PR304104;PR304106;PR304102;PR310437;PR304089;PR304098;PR304085,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,2.0399,min,LNTHITQWFMADLM-UHFFFAOYSA-N,[M+H]+,C7H6O5
PR95739198,PR310815,409,C[N+]1(CCCC1C2=CN=CC=C2)[O-],1.82,min,RWFBQHICRCUQJJ-UHFFFAOYSA-N,[M+H]+,C10H14N2O
PR43618179,PR311094,425,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,6.43,min,DXDRHHKMWQZJHT-UHFFFAOYSA-N,[M+H]+,C15H12O4
PR06996640,PR311148;PR311147,499,C1CC(=O)NC1C(=O)O,1.62,min,ODHCTXKNWHHXJC-UHFFFAOYSA-N,[M+H]+,C5H7NO3
PR47346420,PR310806,636,C1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)O,1.93,min,OLXZPDWKRNYJJZ-UHFFFAOYSA-N,[M+H]+,C10H13N5O3
PR65101274,PR304083;PR304075;PR304074;PR310461;PR304077;PR304078;PR304084;PR304081;PR304082;PR304073;PR304079;PR304080;PR304076,662,C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,4.8,min,PADQINQHPQKXNL-UHFFFAOYSA-N,[M+H]+,C15H12O6
PR79157841,PR311010,709,COC1=C(C=CC(=C1)C=CC(=O)O)O,4.24,min,KSEBMYQBYZTDHS-UHFFFAOYSA-N,[M+H]+,C10H10O4
