accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
RP39240277,RP011903;RP011902;RP011901,135,C1=CC(=CC=C1C(=O)O)O,2.548,min,FJKROLUGYXJWQN-UHFFFAOYSA-N,[M+H]+,C7H6O3
RP59340764,RP011501;RP011503;RP011502,227,C1=CC=C(C(=C1)C(=O)O)N,3.089,min,RWZYAGGXGHYGMB-UHFFFAOYSA-N,[M+H]+,C7H7NO2
RP38599981,RP012801;RP012803;RP012802,243,C1=CC=C(C=C1)C(=O)O,3.52,min,WPYMKLBDIGXBTP-UHFFFAOYSA-N,[M+H]+,C7H6O2
RP92614001,RP022202;RP022201;RP022203,288,C[N+](C)(C)CC(CC(=O)[O-])O,0.59,min,PHIQHXFUZVPYII-UHFFFAOYSA-N,[M+H]+,C7H15NO3
RP10409052,RP012003;RP012001;RP012002,289,C1=CC=C(C(=C1)O)O,2.563,min,YCIMNLLNPGFGHC-UHFFFAOYSA-N,[M+H]+,C6H6O2
RP99161491,RP017003;RP017002;RP017001,338,C1=CC=C(C(=C1)C(=O)O)O,3.612,min,YGSDEFSMJLZEOE-UHFFFAOYSA-N,[M+H]+,C7H6O3
RP43121306,RP013003;RP013001;RP013002,464,C1=CC=C(C=C1)C(=O)NCC(=O)O,2.762,min,QIAFMBKCNZACKA-UHFFFAOYSA-N,[M+H]+,C9H9NO3
RP47890334,RP000101,750,C(C(=O)O)N,0.589,min,DHMQDGOQFOQNFH-UHFFFAOYSA-N,[M+H]+,C2H5NO2
RP07475277,RP011802;RP011801;RP011803,780,C1=CC(=C(C=C1O)CC(=O)O)O,1.387,min,IGMNYECMUMZDDF-UHFFFAOYSA-N,[M+H]+,C8H8O4
RP97159154,RP016603;RP016602;RP016601,802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,3.517,min,SEOVTRFCIGRIMH-UHFFFAOYSA-N,[M+H]+,C10H9NO2
RP96459929,RP022301;RP022303;RP022302,936,C1=CC(=CN=C1)C(=O)N,0.698,min,DFPAKSUCGFBDDF-UHFFFAOYSA-N,[M+H]+,C6H6N2O
RP90200761,RP012303;RP012302;RP012301,988,CC(C)(CO)C(C(=O)NCCC(=O)O)O,1.63,min,GHOKWGTUZJEAQD-UHFFFAOYSA-N,[M+H]+,C9H17NO5
RP30426812,RP022502;RP022503;RP022501,996,C1=CC=C(C=C1)O,3.264,min,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,[M+H]+,C6H6O
RP26458916,RP022403;RP022402;RP022401,1004,OP(=O)(O)O,0.658,min,NBIIXXVUZAFLBC-UHFFFAOYSA-N,[M+H]+,H3O4P
RP75297729,RP022002;RP022003;RP022001,1102,C(CCNCCCN)CN,0.588,min,ATHGHQPFGPMSJY-UHFFFAOYSA-N,[M+H]+,C7H19N3
RP10715161,RP013601;RP013602,1175,C12=C(NC(=O)N1)NC(=O)NC2=O,0.683,min,LEHOTFFKMJEONL-UHFFFAOYSA-N,[M+H]+,C5H4N4O3
RP60308854,RP012502;RP012503;RP012501,1188,C1=NC2=C(N1)C(=O)NC(=O)N2,0.698,min,LRFVTYWOQMYALW-UHFFFAOYSA-N,[M+H]+,C5H4N4O2
RP86151081,RP018202;RP018201;RP018203,1738,COC1=C(C=CC(=C1)CC(=O)O)O,2.844,min,QRMZSPFSDQBLIX-UHFFFAOYSA-N,[M+H]+,C9H10O4
RP36702459,RP019902;RP019903;RP019901,3026,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,6.087,min,DOIRQSBPFJWKBE-UHFFFAOYSA-N,[M+H]+,C16H22O4
RP67823801,RP004201;RP004202,4671,CCCCCCCCCCCCCCCC(=O)NCCO,6.721,min,HXYVTAGFYLMHSO-UHFFFAOYSA-N,[M+H]+,C18H37NO2
RP75347438,RP019103;RP019101;RP019102,4757,C1=CC=C2C(=C1)N=C3C=CC=CC3=N2,4.356,min,PCNDJXKNXGMECE-UHFFFAOYSA-N,[M+H]+,C12H8N2
RP94505787,RP012202;RP012203;RP012201,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,1.55,min,YAPQBXQYLJRXSA-UHFFFAOYSA-N,[M+H]+,C7H8N4O2
RP95195352,RP030302;RP030301;RP030303,5757,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,4.483,min,VOXZDWNPVJITMN-ZBRFXRBCSA-N,[M+H]+,C18H24O2
RP86168135,RP001803;RP001802;RP001801,5862,C([C@@H](C(=O)O)N)S,0.604,min,XUJNEKJLAYXESH-REOHCLBHSA-N,[M+H]+,C3H7NO2S
RP45813670,RP000201;RP000202,5950,C[C@@H](C(=O)O)N,0.601,min,QNAYBMKLOCPYGJ-REOHCLBHSA-N,[M+H]+,C3H7NO2
RP57479712,RP000701;RP000703;RP000702,5951,C([C@@H](C(=O)O)N)O,0.602,min,MTCFGRXMJLQNBG-REOHCLBHSA-N,[M+H]+,C3H7NO3
RP98079960,RP023703;RP023702;RP023701,5958,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O,0.644,min,NBSCHQHZLSJFNQ-GASJEMHNSA-N,[M+H]+,C6H13O9P
RP11784935,RP001601;RP001602,5960,C([C@@H](C(=O)O)N)C(=O)O,0.589,min,CKLJMWTZIZZHCS-REOHCLBHSA-N,[M+H]+,C4H7NO4
RP30249284,RP001301;RP001302;RP001303,5961,C(CC(=O)N)[C@@H](C(=O)O)N,0.604,min,ZDXPYRJPNDTMRX-VKHMYHEASA-N,[M+H]+,C5H10N2O3
RP59598321,RP001103;RP001101;RP001102,5962,C(CCN)C[C@@H](C(=O)O)N,0.563,min,KDXKERNSBIXSRK-YFKPBYRVSA-N,[M+H]+,C6H14N2O2
RP37166666,RP031401;RP031403;RP031402,6029,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,0.698,min,DRTQHJPVMGBUCF-XVFCMESISA-N,[M+H]+,C9H12N2O6
RP33009217,RP000302;RP000301;RP000303,6057,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,0.709,min,OUYCCCASQSFEME-QMMMGPOBSA-N,[M+H]+,C9H11NO3
RP53134744,RP000601;RP000602;RP000603,6106,CC(C)C[C@@H](C(=O)O)N,0.844,min,ROHFNLRQFUQHCH-YFKPBYRVSA-N,[M+H]+,C6H13NO2
RP20686562,RP001901;RP001903;RP001902,6137,CSCC[C@@H](C(=O)O)N,0.698,min,FFEARJCKVFRZRR-BYPYZUCNSA-N,[M+H]+,C5H11NO2S
RP10051287,RP000402;RP000403;RP000401,6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,1.41,min,COLNVLDHVKWLRT-QMMMGPOBSA-N,[M+H]+,C9H11NO2
RP47871060,RP001503;RP001502;RP001501,6267,C([C@@H](C(=O)O)N)C(=O)N,0.576,min,DCXYFEDJOCDNAF-REOHCLBHSA-N,[M+H]+,C4H8N2O3
RP92474384,RP002002;RP002003;RP002001,6274,C1=C(NC=N1)C[C@@H](C(=O)O)N,0.549,min,HNDVDQJCIGZPNO-YFKPBYRVSA-N,[M+H]+,C6H9N3O2
RP58078305,RP000901;RP000902;RP000903,6287,CC(C)[C@@H](C(=O)O)N,0.683,min,KZSNJWFQEVHDMF-BYPYZUCNSA-N,[M+H]+,C5H11NO2
