accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
UF62870742,UF407304;UF407303,298,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],19.347,min,WIIZWVCIJKGZOK-UHFFFAOYSA-N,[M+H]+,C11H12Cl2N2O5
UF20413317,UF406603;UF406604,1302,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,24.337,min,CMWTZPSULFXXJA-UHFFFAOYSA-N,[M+H]+,C14H14O3
UF12656229,UF409103;UF409104,1983,CC(=O)NC1=CC=C(C=C1)O,8.61,min,RZVAJINKPMORJF-UHFFFAOYSA-N,[M+H]+,C8H9NO2
UF60172776,UF414704;UF414703,2130,C1C2CC3CC1CC(C2)(C3)N,15.657,min,DKNWSYNQZKUICI-UHFFFAOYSA-N,[M+H]+,C10H17N
UF35738553,UF408304;UF408303,2151,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N,7.553,min,RLFWWDJHLFCNIJ-UHFFFAOYSA-N,[M+H]+,C11H13N3O
UF31371846,UF406804;UF406803,2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2,16.961,min,VEQOALNAAJBPNY-UHFFFAOYSA-N,[M+H]+,C11H12N2O
UF97674527,UF406835;UF406836,2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2,17.107,min,VEQOALNAAJBPNY-UHFFFAOYSA-N,[M+Na]+,C11H12N2O
UF06118021,UF407603;UF407604,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,6.668,min,METKIMKYRPQLGS-UHFFFAOYSA-N,[M+H]+,C14H22N2O3
UF22206218,UF403303;UF403304,2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,23.294,min,MXWJVTOOROXGIU-UHFFFAOYSA-N,[M+H]+,C8H14ClN5
UF98119332,UF402404;UF402403,2314,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,21.559,min,XEGGRYVFLWGFHI-UHFFFAOYSA-N,[M+H]+,C11H13NO4
UF56650963,UF408903;UF408904,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,15.78,min,RYYVLZVUVIJVGH-UHFFFAOYSA-N,[M+H]+,C8H10N4O2
UF31116900,UF408103;UF408104,2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,20.942,min,SGTNSNPWRIOYBX-UHFFFAOYSA-N,[M+H]+,C27H38N2O4
UF06624168,UF411003;UF411004,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,22.999,min,ZKLPARSLTMPFCP-UHFFFAOYSA-N,[M+H]+,C21H25ClN2O3
UF23818818,UF411804;UF411803,2771,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,19.979,min,WSEQXVZVJXJVFP-UHFFFAOYSA-N,[M+H]+,C20H21FN2O
UF51376549,UF411903;UF411904,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,20.254,min,CMSMOCZEIVJLDB-UHFFFAOYSA-N,[M+H]+,C7H15Cl2N2O2P
UF70496694,UF408404;UF408403,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,24.416,min,AAOVKJBEBIDNHE-UHFFFAOYSA-N,[M+H]+,C16H13ClN2O
